codigo,cirugia,rvu,especialidad,grupo
19000,PUNCT ASPIRAT CYST BREAST,0.3,Mama,Mastectomía
19001,PUNCT ASPIRAT CYST BREAST; EA ADD CYST,0.3,Mama,Mastectomía
19020,MASTOTOMY W/EXPLOR/DRAINAGE ABSCESS DEEP,1.7,Mama,Mastectomía
19030,INJ PROC ONLY-MAMMARY DUCTOGRAM/GALACTOGRAM,0.4,Mama,Mastectomía
19100,BX BREAST; NEEDLE (SEPART PROC),0.4,Mama,Mastectomía
19101,BX BREAST; INCS,2.3,Mama,Mastectomía
19110,NIPPLE EXPLOR W/WO EXC SOLITARY/PAPILLOMA DUCT,2,Mama,Mastectomía
19112,EXC LACTIFEROUS DUCT FISTULA,2.5,Mama,Mastectomía
19120,EXC CYST/BEN-MALIG TISS/DUCT/LES MALE/FE 1/MORE,2.9,Mama,Mastectomía
19140,MASTEC GYNECOMASTIA THRU CIRCUMAREOLAR/OTHER INC,5.2,Mama,Mastectomía
19160,MASTEC PART,3.9,Mama,Mastectomía
19162,MASTEC PART; W/AXILRY LYMPHADENECTOMY,8,Mama,Mastectomía
19180,MASTEC SIMPL COMPLT,5.2,Mama,Mastectomía
19182,MASTEC SUBQ,6.5,Mama,Mastectomía
19200,MASTEC RAD INCL PECTORAL MUSCL AX LYMPH NODES,7.5,Mama,Mastectomía
19220,MASTEC RAD INCL PEC MUSCL AX & INT MAMMARY NODES,9.3,Mama,Mastectomía
19240,MASTEC MOD RAD W/AX NODES EXCL PEC MAJOR MUSCL,8.8,Mama,Mastectomía
19260,EXC CHEST WALL TUMOR INCL RIBS,7.8,Mama,Mastectomía
19271,EXC CHEST WALL TUMOR W/PLSTC RECON; WO LYMPHADEN,12,Mama,Mastectomía
19272,EXC CHEST WALL TUMOR W/PLSTC RECON; W/LYMPHADEN,12.9,Mama,Mastectomía
19290,PREOPERATIVE PLCMT NEEDLE LOCALIZ WIRE BREAST,0.5,Mama,Mastectomía
19291,PREOP PLCMT NEEDLE LOCAL WIRE BREAST; EA ADD LES,0.3,Mama,Mastectomía
19316,MASTOPEXY,8.3,Mama,Mastectomía
19318,REDUCTION MAMMAPLASTY,13.5,Mama,Mastectomía
19324,MAMMAPLASTY AUGMEN; WO PROSTH IMPLNT,4.9,Mama,Mastectomía
19325,MAMMAPLASTY AUGMEN; W/PROSTH IMPLNT,6.4,Mama,Mastectomía
19328,REMOV INTACT MAMMARY IMPLNT,2.8,Mama,Mastectomía
19330,REMOV MAMMARY IMPLNT MAT,3.6,Mama,Mastectomía
19340,IMMED INSRT BREAST PROSTH ATER MASTOPEX/MASTECT,6.9,Mama,Mastectomía
19342,DELAYED INSRT PROSTH AFTER MASTOPEX/MASTECT,8.6,Mama,Mastectomía
19350,NIPPLE/AREOLA RECON,6.4,Mama,Mastectomía
19355,CORRECT INVERTED NIPPLES,2.1,Mama,Mastectomía
19357,BREAST RECON IMMED/DELAY W/EXPANDR W/SUBSQT EXPA,RNE,Mama,Mastectomía
19361,BREAST RECON W/LAT DORSI FLAP W/WO PROSTH IMPLNT,RNE,Mama,Mastectomía
19362,BREAST RECON W/ABD FLAP W/WO MICROVASC ANASTOM,RNE,Mama,Mastectomía
19364,BREAST RECON W/FREE FLAP,11.8,Mama,Mastectomía
19366,BREAST RECON W/OTHER TECH,RNE,Mama,Mastectomía
19370,OP PERIPROSTHETIC CAPSULOTOMY BREAST,6.9,Mama,Mastectomía
19371,PERIPROSTHETIC CAPSULECTOMY BREAST,7.9,Mama,Mastectomía
19380,REVIS RECON BREAST,RNE,Mama,Mastectomía
19396,PREP MOULAGE CUSTOM BREAST IMPLNT,0.5,Mama,Mastectomía
19499,UNLISTED PROC BREAST,BR,Mama,Mastectomía
