codigo,cirugia,rvu,especialidad,grupo
33010,PERICARDIOCENTESIS; INIT,1.1,Cardiovascular,Corazón
33011,PERICARDIOCENTESIS; SUBSQT,0.7,Cardiovascular,Corazón
33015,TUBE PERICARDIOSTOMY,1.5,Cardiovascular,Corazón
33020,PERICARDIOTOMY REMOV CLOT/F B,8.3,Cardiovascular,Corazón
33025,CREATION PERICARDIAL WINDOW/PART RESECT DRAIN,8.3,Cardiovascular,Corazón
33030,PERICARDIECTOMY SUBTL/COMPLT; WO CP BYPASS,17.5,Cardiovascular,Corazón
33031,PERICARDIECTOMY SUBTL/COMPLT; W/CP BYPASS,25,Cardiovascular,Corazón
33050,EXC PERICARDIAL CYST/TUMOR,10,Cardiovascular,Corazón
33100,PERICARDIECTOMY (SEPART PROC),15.7,Cardiovascular,Corazón
33120,EXC INTRACARDIAC TUMOR RESECT W/CP BYPASS,22,Cardiovascular,Corazón
33130,RESECT EXT CARDIAC TUMOR,12.5,Cardiovascular,Corazón
33200,INSRT PERM PACEMAKER; BY THORACOTOMY,8,Cardiovascular,Corazón
33201,INSRT PERM PACEMAKER; BY XIPHOID APPROACH,8,Cardiovascular,Corazón
33206,INSRT PERM PACEMAKER W/TRANSVENOUS ELECT; ATRIAL,8.8,Cardiovascular,Corazón
33207,INSRT PERM PACEMAKER; VENTRICULAR,7.8,Cardiovascular,Corazón
33208,INSRT PERM PACEMAKER; AV SEQUENTIAL,8.3,Cardiovascular,Corazón
33210,INSRT TEMP TRANSVEN CARDIAC ELECTRODE (SEP PRO),3.9,Cardiovascular,Corazón
33212,INSRT/REPLAC PACEMAKER PULSE GEN,3.9,Cardiovascular,Corazón
33216,INSRT/REPLAC/REPOSIT PERM TRANSVENOUS ELECTRODES,6,Cardiovascular,Corazón
33218,REPR PACEMAKER; ELECTRODES ONLY,3.4,Cardiovascular,Corazón
33219,REPR PACEMAKER; W/REPLAC PULSE GEN,3.9,Cardiovascular,Corazón
33222,REVIS/RELOCAT SKIN POCKET-PACEMAKER,3.9,Cardiovascular,Corazón
33232,REMOV PERM PACEMAKER,2.9,Cardiovascular,Corazón
33245,IMPLNT AUTO IMPLNT CARDIOVERTER-DEFIB PADS,18.1,Cardiovascular,Corazón
33246,IMPLNT AUTO CARDIOVERT PADS; W/INSRT PULSE GEN,21.1,Cardiovascular,Corazón
33248,REVIS/REMOV AUTO IMPLNT CARDIOVERTER-DEFIB PADS,18.1,Cardiovascular,Corazón
33250,OR ABLAT SUPRAVENT ARRHYTH FOCUS; WO CP BYPASS,BR,Cardiovascular,Corazón
33251,OR ABLATION SUPRAVENT ARRHYTH FOCUS; W/CP BYPASS,BR,Cardiovascular,Corazón
33260,OR ABLATION ARRHYTH FOCUS/PATHWAY; WO CP BYPASS,BR,Cardiovascular,Corazón
33261,OR ABLATION ARRHYTH FOCUS/PATHWAY; W/CP BYPASS,BR,Cardiovascular,Corazón
33300,REPR CARDIAC WOUND; WO BYPASS,10,Cardiovascular,Corazón
33305,REPR CARDIAC WOUND; W/CARDIOPULMONARY BYPASS,17.5,Cardiovascular,Corazón
33310,CARDIOTOMY EXPLOR; WO BYPASS,12.5,Cardiovascular,Corazón
33315,CARDIOTOMY EXPLOR; W/CARDIOPULMONARY BYPASS,20,Cardiovascular,Corazón
33320,SUTURE REPR AORTA/GRT VESSELS; WO BYPASS,10,Cardiovascular,Corazón
33322,SUTURE REPR AORTA/GRT VESSELS; W/CP BYPASS,17.5,Cardiovascular,Corazón
33330,INSRT GFT AORTA/GRT VESSELS; WO BYPASS,17.5,Cardiovascular,Corazón
33335,INSRT GFT AORTA/GRT VESSELS; W/CP BYPASS,25,Cardiovascular,Corazón
33350,GRT VESSEL REPR W/OTHER MAJOR PROC,BR,Cardiovascular,Corazón
33400,VALVULOPLASTY AORTIC VALV OP W/CP BYPASS,20,Cardiovascular,Corazón
33404,CONSTRUCTION APICAL-AORTIC CONDUIT,24.5,Cardiovascular,Corazón
33405,REPLAC AORTIC VALV W/CARDIOPULMONARY BYPASS,22.1,Cardiovascular,Corazón
33407,VALVOTOMY AORTIC VALV W/CP BYPASS,19.6,Cardiovascular,Corazón
33408,VALVOTOMY AORTIC VALV; W/INFLOW OCCLUD,16,Cardiovascular,Corazón
33411,REPLAC AORTIC VALV; W/AORTIC ANNULUS ENLARGEMENT,24.5,Cardiovascular,Corazón
33412,REPLAC AORTIC VALV; W/TRANSVENT AORTIC ANNULUS,24.5,Cardiovascular,Corazón
33415,RESECT/INCS SUBVALVULAR TISS-AORTIC STENOSIS,20,Cardiovascular,Corazón
33416,VENTRICULOMYOTOMY-IDIOPATHIC SUBAORTIC STENOSIS,BR,Cardiovascular,Corazón
33417,AORTOPLASTY SUPRAVALVULAR STENOSIS,20,Cardiovascular,Corazón
33420,VALVOTOMY MITRAL VALV; CLO,15,Cardiovascular,Corazón
33422,VALVOTOMY MITRAL VALV; OP W/CP BYPASS,22,Cardiovascular,Corazón
33425,VALVULOPLASTY-MITRAL W/CP BYPASS,20.4,Cardiovascular,Corazón
33426,VALVULOPLASTY-MITRAL W/CP BYPASS; W/PROSTH RING,22.3,Cardiovascular,Corazón
33427,VALVULOPLASTY-MITRAL W/CP BYPASS; RAD RECON,BR,Cardiovascular,Corazón
33430,REPLAC MITRAL VALV W/CARDIOPULMONARY BYPASS,25,Cardiovascular,Corazón
33452,VALVOTOMY TRICUSPID VALV W/CP BYPASS,19.6,Cardiovascular,Corazón
33460,VALVULOPL/VALVECTMY-TRICUSPID W/CP BYPASS,19.6,Cardiovascular,Corazón
33465,VALVULOPL/VALVECTOMY-TRICUSP W/CP BYPASS; REPLAC,25,Cardiovascular,Corazón
33468,TRICUSPID VALV REPOSIT & PLICAT EPSTEIN ANOMALY,27,Cardiovascular,Corazón
33470,VALVOTOMY PULM VALV; CLO,16,Cardiovascular,Corazón
33472,VALVOTOMY PULM VALV; OP W/INFLOW OCCLUD,16,Cardiovascular,Corazón
33474,VALVOTOMY PULM VALV; OP W/CP BYPASS,20,Cardiovascular,Corazón
33476,RT VENTRIC RESECT-INFUNDIB STENOSIS-W/WO COMMISS,22,Cardiovascular,Corazón
33478,OUTFLOW TRACT AUGMEN W/WO COMMISSUROTOMY,24,Cardiovascular,Corazón
33500,REPR CORONARY AV CHAMBER FISTULA; W/CP BYPASS,RNE,Cardiovascular,Corazón
33501,REPR CORONARY AV CHAMBER FISTULA; WO CP BYPASS,RNE,Cardiovascular,Corazón
33502,ANOMALOUS CORONARY ART; LIG,10.8,Cardiovascular,Corazón
33503,ANOMALOUS CORONARY ART; GFT WO CP BYPASS,14.7,Cardiovascular,Corazón
33504,ANOMALOUS CORONARY ART; GFT W/CP BYPASS,21.6,Cardiovascular,Corazón
33510,CORON ART BYPASS-VEIN ONLY; 1 CORON VENOUS GFT,20,Cardiovascular,Corazón
33511,CORON ART BYPASS-VEIN ONLY; 2 CORON VENOUS GFT,23,Cardiovascular,Corazón
33512,CORON ART BYPASS-VEIN ONLY; 3 CORON VENOUS GFT,26,Cardiovascular,Corazón
33513,CORON ART BYPASS-VEIN ONLY; 4 CORON VENOUS GFT,29,Cardiovascular,Corazón
33514,CORON ART BYPASS-VEIN ONLY; 5 CORON VENOUS GFT,32,Cardiovascular,Corazón
33516,CORON ART BYPASS-VEIN ONLY; 6/MORE VENOUS GFT,RNE,Cardiovascular,Corazón
33517,CORON ART BYPASS W/VENOUS & ART GFT; 1 VEIN GFT,2.1,Cardiovascular,Corazón
33518,CORON ART BYPASS W/VENOUS & ART GFT; 2 VEIN GFT,4.1,Cardiovascular,Corazón
33519,CORON ART BYPASS W/VENOUS & ART GFT; 3 VEIN GFT,6.2,Cardiovascular,Corazón
33521,CORON ART BYPASS W/VENOUS & ART GFT; 4 VEIN GFT,7.6,Cardiovascular,Corazón
33522,CORON ART BYPASS W/VENOUS & ART GFT; 5 VEIN GFT,9.1,Cardiovascular,Corazón
33523,CORON ART BYPASS W/VENOUS & ART GFT; 6/MORE GFT,RNE,Cardiovascular,Corazón
33530,REOPERAT CAB/VALVE PROC > 1 MO AFTER ORIG OR,RNE,Cardiovascular,Corazón
33533,CORONARY ART BYPASS W/ART GFT; 1 ART GFT,21,Cardiovascular,Corazón
33534,CORON ART BYPASS W/ART GFT; 2 CORON ART GFT,23.5,Cardiovascular,Corazón
33535,CORON ART BYPASS W/ART GFT; 3 CORON ART GFT,26.2,Cardiovascular,Corazón
33536,CORON ART BYPASS W/ART GFT; 4/MORE CORON ART GFT,RNE,Cardiovascular,Corazón
33542,MYOCARDIAL RESECT,18.6,Cardiovascular,Corazón
33545,REPR POSTINFARCT VENT SEPTAL DEFECT W/WO RESECT,25.5,Cardiovascular,Corazón
33570,CORONARY ANGIOPLASTY W/BYPASS,23.8,Cardiovascular,Corazón
33575,CORON ANGIOPLSTY W/BYPASS; COMBO W/VASCULARIZAT,27,Cardiovascular,Corazón
33641,REPR ATRIAL SEPTAL DEFECT SECUNDUM W/CP BYPASS,15.7,Cardiovascular,Corazón
33645,DIRECT/PATCH CLO-SINUS VENOSUS-W/WO PULM DRAIN,20,Cardiovascular,Corazón
33647,REPR ATRIAL & VENTRIC SEPTAL DEFECT W/DIRECT CLO,24.5,Cardiovascular,Corazón
33649,REPR TRICUSPID ATRESIA,20,Cardiovascular,Corazón
33660,PATCH CLO ENDOCARDIAL CUSHION DEFECT,24,Cardiovascular,Corazón
33665,PATCH CLO-CUSHION DEFECT W/REPR VENTRIC DEFECT,25,Cardiovascular,Corazón
33670,REPR COMPLT ATRIOVENT CANAL W/WO PROSTH VALVE,26.5,Cardiovascular,Corazón
33681,CLO VENTRICULAR SEPTAL DEFECT W/WO PATCH,21.1,Cardiovascular,Corazón
33684,CLO VENT SEPTAL DEFECT W/PULM VALVOTOMY,25,Cardiovascular,Corazón
33688,CLO VENT SEPTAL DEFECT W/REMOV PULM ART BAND,22.5,Cardiovascular,Corazón
33690,BANDING PULM ART,10,Cardiovascular,Corazón
33692,COMPLT REPR TETRALOGY FALLOT,28,Cardiovascular,Corazón
33694,COMPLT REPR TETRALOGY FALLOT; W/TRANSANNUL PATCH,30,Cardiovascular,Corazón
33696,COMPLT REPR TETRALOGY FALLOT; W/CLO PREV SHUNT,31.5,Cardiovascular,Corazón
33702,REPR SINUS VALSALVA FISTULA W/CP BYPASS,19.6,Cardiovascular,Corazón
33710,REPR SINUS FISTULA W/BYPASS; W/REPR SEPTAL DEFEC,25.5,Cardiovascular,Corazón
33720,REPR SINUS VALSALVA ANEURY W/CP BYPASS,25,Cardiovascular,Corazón
33730,COMPLT REPR ANOMALOUS VENOUS RETURN,25,Cardiovascular,Corazón
33735,ATRIAL SEPTECTOMY/SEPTOSTOMY; CLO,16,Cardiovascular,Corazón
33737,ATRIAL SEPTECTOMY/SEPTOSTOMY; OP W/INFLOW OCCLUD,16,Cardiovascular,Corazón
33738,ATRIAL SEPTECT/SEPTOST; TRANSVEN METHD-BALLOON,17.6,Cardiovascular,Corazón
33739,ATRIAL SEPTECTOMY/SEPTOSTOMY; BLADE METHD,17.6,Cardiovascular,Corazón
33750,SHUNT; SUBCLAVIAN PULM ART,12.3,Cardiovascular,Corazón
33755,SHUNT; ASCENDING AORTA PULM ART,12.3,Cardiovascular,Corazón
33762,SHUNT; DESCENDING AORTA PULM ART,12.3,Cardiovascular,Corazón
33764,SHUNT; CENTRAL W/PROSTH GFT,14.7,Cardiovascular,Corazón
33766,SHUNT; VENA CAVA PULM ART,15,Cardiovascular,Corazón
33774,REPR TRANSPOSIT GR ART-ATRIAL BAFFLE W/CP BYPASS,24.5,Cardiovascular,Corazón
33775,REPR TRANSPOSIT W/CP BYPASS; W/REMOV PULM BAND,28.4,Cardiovascular,Corazón
33776,REPR TRANSPOSIT GR ART; W/CLO VENT SEPTAL DEFECT,32,Cardiovascular,Corazón
33777,REPR TRANSPOSIT GRT ART; W/REPR SUBPULM OBSTRUC,29.4,Cardiovascular,Corazón
33778,REPR TRANSPOSIT GRT ART AORTIC PULM RECON,29.4,Cardiovascular,Corazón
33779,REPR TRANSPOSIT-AORTIC PULM RECON; W/REMOV BAND,30.4,Cardiovascular,Corazón
33780,REPR TRANSPOSIT-AORTIC PULM RECON; W/CLO SEPTAL,35.3,Cardiovascular,Corazón
33781,REPR TRANSPOSIT-AORTIC PULM; W/REPR SUBPULM OBST,35.3,Cardiovascular,Corazón
33786,TOT REPR TRUNCUS ARTERIOSUS,26.8,Cardiovascular,Corazón
33788,REIMPLANTATION AN ANOMALOUS PULM ART,17.5,Cardiovascular,Corazón
33800,AORTIC SUSPEN-TRACHEAL DECOMP (SEPART PROC),RNE,Cardiovascular,Corazón
33802,DIVISION ABERRANT VESSEL,12,Cardiovascular,Corazón
33803,DIVISION ABERRANT VESSEL; W/REANASTOMOSIS,15,Cardiovascular,Corazón
33813,OBLIT AORTOPULM SEPTAL DEFECT; WO CP BYPASS,BR,Cardiovascular,Corazón
33814,OBLIT AORTOPULM SEPTAL DEFECT; W/CP BYPASS,BR,Cardiovascular,Corazón
33820,PATENT DUCTUS ARTERIOSUS; LIG,10,Cardiovascular,Corazón
33822,PATENT DUCTUS ARTERIOSUS; DIVISION UNDER 18 YR,12,Cardiovascular,Corazón
33824,PATENT DUCTUS ARTERIOSUS; DIVISION 18 YR & OLDER,15,Cardiovascular,Corazón
33830,PATENT DUCT ARTERIOSUS; LIG W/ANOTHER PROC,4.9,Cardiovascular,Corazón
33840,EXC COARCTATION AORTA; W/DIRECT ANASTOM,15,Cardiovascular,Corazón
33845,EXC COARCTATION AORTA W/WO PATENT DUCTUS; W/GFT,20,Cardiovascular,Corazón
33851,EXC COARCTAT AORTA; REPR W/LT SUBCLAV/PROSTH MAT,21.6,Cardiovascular,Corazón
33852,EXC COARCTAT AORTA; REPR HYPOPLASTIC AORTIC ARCH,24,Cardiovascular,Corazón
33855,EXC COARCTAT AORTA; REPR LT HEART SYNDROME,BR,Cardiovascular,Corazón
33860,ASCENDING AORTA GFT W/CP BYPASS; WO VALVE REPLAC,28,Cardiovascular,Corazón
33865,ASCENDING AORTA GFT W/CP BYPASS; W/VALVE REPLAC,35,Cardiovascular,Corazón
33870,TRANSVERSE ARCH GFT W/CARDIOPULMONARY BYPASS,40,Cardiovascular,Corazón
33875,DESCENDING THORACIC AORTA GFT W/WO BYPASS,19.6,Cardiovascular,Corazón
33877,REPR THORACOABD AORTIC ANEURY W/GFT W/WO BYPASS,RNE,Cardiovascular,Corazón
33910,PULM ART EMBOLECTOMY; W/CARDIOPULMONARY BYPASS,17.6,Cardiovascular,Corazón
33915,PULM ART EMBOLECTOMY; WO BYPASS,15,Cardiovascular,Corazón
33916,PULM ENDARTERECTOMY W/WO EMBOLECTOMY W/CP BYPASS,BR,Cardiovascular,Corazón
33930,DONOR CARDIEC-PNEUMONECT  W/PREP & MAINT-HOMOGFT,BR,Cardiovascular,Corazón
33935,HEART-LUNG TRANSPL W/RECIPIENT CARDIECT-PNEUMONE,BR,Cardiovascular,Corazón
33940,DONOR CARDIECTOMY W/PREP & MAINTENANCE HOMOGFT,BR,Cardiovascular,Corazón
33945,HEART TRANSPL W/WO RECIPIENT CARDIECTOMY,BR,Cardiovascular,Corazón
33960,PROLONGED EXTRACORPOREAL CIRCULATION CP INSUFF,BR,Cardiovascular,Corazón
33970,INTRA-AORTIC BALLOON COUNTRPULSATION; INSRT ONLY,6.4,Cardiovascular,Corazón
33971,INTRA-AORT BALLOON COUNTERPULS; REMOV W/REPR ART,7.8,Cardiovascular,Corazón
33972,INTRA-AORTIC BALLOON COUNTERPULSAT; MONITOR ONLY,BR,Cardiovascular,Corazón
33999,UNLISTED PROC CARDIAC SURG,BR,Cardiovascular,Corazón
