codigo,cirugia,rvu,especialidad,grupo
34001,EMBOLECT/THROMBEC; CAROTID ART BY NECK INCS,6.9,Cardiovascular,Vasos periféricos
34051,EMBOLECT/THROMBEC; INNOMINATE BY THORACIC INCS,7.8,Cardiovascular,Vasos periféricos
34101,EMBOLECT/THROMBEC; AXILRY/BRACHIAL ART-ARM INCS,5.9,Cardiovascular,Vasos periféricos
34111,EMBOLECT/THROMBEC; RADIAL/ULNAR ART BY ARM INCS,11.8,Cardiovascular,Vasos periféricos
34151,EMBOLECT/THROMBEC; RENAL/CELIAC ART BY ABD INCS,11.8,Cardiovascular,Vasos periféricos
34201,EMBOLECT/THROMBEC; FEMPOP ART BY LEG INCS,6.7,Cardiovascular,Vasos periféricos
34203,EMBOLECT/THROMBEC; POP-TIBIO-PER ART BY LEG INCS,9.8,Cardiovascular,Vasos periféricos
34401,THROMBEC DIRECT OR W/CATH; VENA CAVA BY ABD INCS,8.8,Cardiovascular,Vasos periféricos
34421,THROMBEC DIRECT OR W/CATH; VENA CAVA BY LEG INCS,6.7,Cardiovascular,Vasos periféricos
34451,THROMBEC; VENA CAVA BY ABD & LEG INCS,11.8,Cardiovascular,Vasos periféricos
34471,THROMBEC DIREC OR W/CATH; SUBCLAV VEIN NECK INCS,6.9,Cardiovascular,Vasos periféricos
34490,THROMBEC; AXILRY & SUBCLAV BY ARM INCS,6.9,Cardiovascular,Vasos periféricos
34501,VALVULOPLASTY FEMORAL VEIN,BR,Cardiovascular,Vasos periféricos
34510,VENOUS VALVE TRANSPOSITION ANY VEIN DONOR,BR,Cardiovascular,Vasos periféricos
34520,CROSS-OVER VEIN GFT TO VENOUS SYST,BR,Cardiovascular,Vasos periféricos
34530,SAPHENOPOPLITEAL VEIN ANASTOM,BR,Cardiovascular,Vasos periféricos
35001,DIREC REPR ANEURY; OCCLUSIVE DISEASE-NECK INCS,13.2,Cardiovascular,Vasos periféricos
35002,DIREC REPR ANEURY; RUPTD ANEURY-NECK INCS,13.2,Cardiovascular,Vasos periféricos
35005,DIREC REPR ANEURY; ANEURY/OCCLUD VERTEBRAL ART,13.2,Cardiovascular,Vasos periféricos
35011,DIREC REPR; ANEURY AXILRY-BRACH ART BY ARM INCS,10.8,Cardiovascular,Vasos periféricos
35013,DIREC REPR; RUPT ANEURY AX-BRACH ART BY ARM INCS,10.8,Cardiovascular,Vasos periféricos
35021,DIREC REPR; ANEUR INNOMINAT ART BY THORACIC INCS,12.3,Cardiovascular,Vasos periféricos
35022,DIREC REPR; RUPT ANEURY INNOMIN ART-THORAC INCS,12.3,Cardiovascular,Vasos periféricos
35045,DIREC REPR; ANEURY/OCCLUD RADIAL/ULNAR ART,14.7,Cardiovascular,Vasos periféricos
35081,DIREC REPR; ANEURY/FALSE ANEURY/OCCLUD ABD AORTA,14.7,Cardiovascular,Vasos periféricos
35082,DIREC REPR ANEURY; RUPT ANEURY ABD AORTA,16.2,Cardiovascular,Vasos periféricos
35091,DIREC REPR; ANEURY ABD AORTA INVOLV VISCRL VESSL,19.6,Cardiovascular,Vasos periféricos
35092,DIREC REPR; RUPT ANEURY ABD AORTA W/VISCRL VESSL,19.6,Cardiovascular,Vasos periféricos
35102,DIREC REPR; ANEURY ABD AORTA INVOLV ILIAC VESSL,16.2,Cardiovascular,Vasos periféricos
35103,DIREC REPR; RUPT ANEUR ABD AORTA W/ILIAC VESSL,16.2,Cardiovascular,Vasos periféricos
35111,DIREC REPR; ANEURY/FALSE ANEURY SPLENIC ART,9.8,Cardiovascular,Vasos periféricos
35112,DIREC REPR ANEURY; RUPT ANEURY SPLENIC ART,11.3,Cardiovascular,Vasos periféricos
35121,DIREC REPR; ANEURY HEPATIC/CELIAC/RENAL ART,13.2,Cardiovascular,Vasos periféricos
35122,DIREC REPR; RUPT ANEURY HEPATIC/CELIAC/RENAL ART,13.2,Cardiovascular,Vasos periféricos
35131,DIREC REPR; ANEURY/FALSE ANEURY ILIAC ART,13.2,Cardiovascular,Vasos periféricos
35132,DIREC REPR ANEURY; RUPT ANEURY ILIAC ART,13.7,Cardiovascular,Vasos periféricos
35141,DIREC REPR; ANEURY/FALSE ANEURY COMMON FEM ART,12.5,Cardiovascular,Vasos periféricos
35142,DIREC REPR ANEURY; RUPT ANEURY COMMON FEM ART,11.3,Cardiovascular,Vasos periféricos
35151,DIREC REPR; ANEURY/FALSE ANEURY/OCCLUD POP ART,11.3,Cardiovascular,Vasos periféricos
35152,DIREC REPR ANEURY; RUPT ANEURY POP ART,11.3,Cardiovascular,Vasos periféricos
35161,DIREC REPR ANEURY; ANEURY/FALSE ANEURY OTHER ART,9.8,Cardiovascular,Vasos periféricos
35162,DIREC REPR ANEURY; RUPT ANEURY OTHER ART,9.8,Cardiovascular,Vasos periféricos
35180,REPR CONGEN AV FISTULA; HEAD & NECK,11.8,Cardiovascular,Vasos periféricos
35182,REPR CONGEN AV FISTULA; THORAX & ABD,10.8,Cardiovascular,Vasos periféricos
35184,REPR CONGEN AV FISTULA; EXTREM,11.8,Cardiovascular,Vasos periféricos
35188,REPR ACQUIRED/TRAUMATIC AV FISTULA; HEAD & NECK,11.8,Cardiovascular,Vasos periféricos
35189,REPR ACQUIRED/TRAUMATIC AV FISTULA; THORAX & ABD,10.8,Cardiovascular,Vasos periféricos
35190,REPR ACQUIRED/TRAUMATIC AV FISTULA; EXTREM,11.8,Cardiovascular,Vasos periféricos
35201,REPR BLD VESSEL DIRECT; NECK,11.8,Cardiovascular,Vasos periféricos
35206,REPR BLD VESSEL DIRECT; UPPER EXTREM,7.8,Cardiovascular,Vasos periféricos
35207,REPR BLD VESSEL DIRECT; HAND-FINGER,7.8,Cardiovascular,Vasos periféricos
