codigo,cirugia,rvu,especialidad,grupo
47000,BX LIVER; PERCUT NEEDLE,1.1,Digestivo,Hígado / Páncreas
47001,BX LIVER; DONE @ TIME OF OTHER PROC,0.5,Digestivo,Hígado / Páncreas
47010,HEPATOTOMY DRAIN ABSCESS/CYST 1 OR 2 STAGES,5.9,Digestivo,Hígado / Páncreas
47100,BX LIVER WEDGE (SEPART PROC),4.4,Digestivo,Hígado / Páncreas
47120,HEPATECTOMY RESECT LIVER; PART LOBEC,12.5,Digestivo,Hígado / Páncreas
47122,HEPATECTOMY RESECT LIVER; TRISEGMENTECTOMY,14.7,Digestivo,Hígado / Páncreas
47125,HEPATECTOMY RESECT LIVER; TOT LT LOBEC,14.7,Digestivo,Hígado / Páncreas
47130,HEPATECTOMY RESECT LIVER; TOT RT LOBEC,14.7,Digestivo,Hígado / Páncreas
47133,DONOR HEPATECTOMY W/PREP & MAINTENANCE HOMOGFT,BR,Digestivo,Hígado / Páncreas
47135,LIVER TRANSPL W/WO RECIPIENT HEPATECTOMY,BR,Digestivo,Hígado / Páncreas
47300,MARSUPIALIZATION CYST/ABSCESS LIVER,7.2,Digestivo,Hígado / Páncreas
47350,HEPATORRHAPHY SUTURE LIVER WOUND/INJURY; SIMPL,6.6,Digestivo,Hígado / Páncreas
47355,HEPATORRHAPHY; W/COMMON DUCT/GB DRAINAGE,8.1,Digestivo,Hígado / Páncreas
47360,HEPATORRHAPHY; COMPLX W/WO HEPATIC ART LIG,9.8,Digestivo,Hígado / Páncreas
47399,UNLISTED PROC LIVER,BR,Digestivo,Hígado / Páncreas
47400,HEPATICOTOMY W/EXPLOR/DRAINAGE/REMOV CALCU,9.8,Digestivo,Hígado / Páncreas
47420,CHOLEDOCHOTOMY W/EXPLOR W/WO CHOLECYSTOTOMY,8.3,Digestivo,Hígado / Páncreas
47425,CHOLEDOCHOTOMY; W/TRANSDUODENAL SPHINCTEROTONY,9.9,Digestivo,Hígado / Páncreas
