codigo,cirugia,rvu,especialidad,grupo
60000,I&D THYROGLOSSAL CYST INFEC,0.6,Endocrino,Tiroides / glándulas
60100,BX THYROID PERCUT NEEDLE,0.8,Endocrino,Tiroides / glándulas
60200,EXC CYST/ADENOMA THYROID/TRANSECTION ISTHMUS,5.4,Endocrino,Tiroides / glándulas
60220,TOT THYROID LOBEC UNILAT,7.5,Endocrino,Tiroides / glándulas
60225,TOT THYROID LOBEC UNILAT; W/CONTRALAT SUBTL LOBE,9.2,Endocrino,Tiroides / glándulas
60240,THYROIDECTOMY TOT/COMPLT,9.7,Endocrino,Tiroides / glándulas
60245,THYROIDECTOMY SUBTL/PART,7.4,Endocrino,Tiroides / glándulas
60246,THYROIDECTOMY; W/REMOV SUBSTERNAL THYROID GLAND,9.7,Endocrino,Tiroides / glándulas
60252,THYROIDECTOMY TOT/SUBTL-MALIG; W/LTD NECK DISSEC,15,Endocrino,Tiroides / glándulas
60254,THYROIDECTOMY TOT/SUBTL-MALIG; W/RAD NECK DISSEC,18.5,Endocrino,Tiroides / glándulas
60260,THYROIDECTOMY SECNDRY,8.1,Endocrino,Tiroides / glándulas
60270,THYROIDECTOMY INCL SUBSTERNL GLAND STERNL SPLIT,10.3,Endocrino,Tiroides / glándulas
60280,EXC THYROGLOSSAL DUCT CYST/SINUS,5.9,Endocrino,Tiroides / glándulas
60281,EXC THYROGLOSSAL DUCT CYST/SINUS; RECURRENT,6.2,Endocrino,Tiroides / glándulas
60500,PARATHYROIDECTOMY/EXPLOR PARATHYROID,9,Endocrino,Tiroides / glándulas
60502,PARATHYROIDECTOMY/EXPLOR PARATHYROID; RE-EXPLOR,9.9,Endocrino,Tiroides / glándulas
60505,PARATHYROIDECTOMY; W/MEDIASTINAL EXPLOR,13,Endocrino,Tiroides / glándulas
60520,THYMECTOMY PART/TOT (SEPART PROC),9.6,Endocrino,Tiroides / glándulas
60540,ADRENALECTOMY/EXPLOR ADRENAL GLAND (SEPART PROC),9.6,Endocrino,Tiroides / glándulas
60545,ADRENALECTOMY (SEP PRO); W/EXC RETROPERIT TUMOR,12.3,Endocrino,Tiroides / glándulas
60600,EXC CAROTID BODY TUMOR; WO EXC CAROTID ART,9.8,Endocrino,Tiroides / glándulas
60605,EXC CAROTID BODY TUMOR; W/EXC CAROTID ART,12.3,Endocrino,Tiroides / glándulas
60699,UNLISTED PROC ENDOCRINE SYST,BR,Endocrino,Tiroides / glándulas
