codigo,cirugia,rvu,especialidad,grupo
56405,I&D VULVA/PERINEAL ABSCESS,0.6,Ginecología,Ovario y útero
56420,I&D BARTHOLIN'S GLAND ABSCESS,0.8,Ginecología,Ovario y útero
56440,MARSUPIALIZATION BARTHOLIN'S GLAND CYST,3,Ginecología,Ovario y útero
56441,LYSIS LABIAL ADHESIONS,0.3,Ginecología,Ovario y útero
56501,DESTRCT LES VULVA; SIMPL ANY METHD,1.3,Ginecología,Ovario y útero
56515,DESTRCT LES VULVA; EXTEN ANY METHD,2.9,Ginecología,Ovario y útero
56605,BX VULVA/PERINEUM (SEPART PROC); 1 LES,0.6,Ginecología,Ovario y útero
56606,BX VULVA/PERINEUM (SEP PRO); EA SEP ADD LES,0.3,Ginecología,Ovario y útero
56620,VULVECTOMY SIMPL; PART,5.4,Ginecología,Ovario y útero
56625,VULVECTOMY SIMPL; COMPLT,9.2,Ginecología,Ovario y útero
56630,VULVECTOMY RADICAL PART,11,Ginecología,Ovario y útero
56631,VULVECTOMY RAD PART; W/UNILAT INGUINOFEM LYMPHAD,12.3,Ginecología,Ovario y útero
56633,VULVECTOMY RADICAL COMPLT,12.3,Ginecología,Ovario y útero
56634,VULVECTOMY RAD COMPLT; W/UNILAT INGUINOFEM LYMPH,15.3,Ginecología,Ovario y útero
56637,VULVECTOMY RAD COMPLT; W/BILAT INGUINOFEM LYMPH,16.8,Ginecología,Ovario y útero
56640,VULVECTOMY RAD COMPLT W/INGUINOFEM/ILIAC LYMPH,15.2,Ginecología,Ovario y útero
56700,PART HYMENECTOMY/REVIS HYMENAL RING,2,Ginecología,Ovario y útero
56720,HYMENOTOMY SIMPL INCS,0.9,Ginecología,Ovario y útero
56740,EXC BARTHOLIN'S GLAND/CYST,2.8,Ginecología,Ovario y útero
56800,PLASTIC REPR INTROITUS,2.9,Ginecología,Ovario y útero
56805,CLITOROPLASTY ADRENOGENITAL SYNDROME,BR,Ginecología,Ovario y útero
56810,PERINEOPLASTY REPR PERINEUM NON-OB (SEPART PROC),2.9,Ginecología,Ovario y útero
57000,COLPOTOMY; W/EXPLOR,2.5,Ginecología,Ovario y útero
57010,COLPOTOMY; W/DRAINAGE PELVIC ABSCESS,2.7,Ginecología,Ovario y útero
57020,COLPOCENTESIS (SEPART PROC),0.5,Ginecología,Ovario y útero
57061,DESTRCT VAG LES; SIMPL ANY METHD,1.5,Ginecología,Ovario y útero
57065,DESTRCT VAG LES; EXTEN ANY METHD,2.9,Ginecología,Ovario y útero
57100,BX VAG MUCOS; SIMPL (SEPART PROC),0.5,Ginecología,Ovario y útero
57105,BX VAG MUCOS; EXTEN REQUIRING SUTURE,1.3,Ginecología,Ovario y útero
57108,COLPECTOMY OBLIT VAG; PART,5.7,Ginecología,Ovario y útero
57110,COLPECTOMY OBLIT VAG; COMPLT,6.9,Ginecología,Ovario y útero
57120,COLPOCLEISIS,5.7,Ginecología,Ovario y útero
57130,EXC VAG SEPTUM,2.6,Ginecología,Ovario y útero
57135,EXC VAG CYST/TUMOR,2,Ginecología,Ovario y útero
57150,IRRIGA VAG &/OR APPLIC MEDICAMENT-TX BACTERIAL,0.1,Ginecología,Ovario y útero
57160,INSRT PESSARY,0.2,Ginecología,Ovario y útero
57170,DIAPHRAGM/CERV CAP FITTING W/INSTRUC,0.2,Ginecología,Ovario y útero
