codigo,cirugia,rvu,especialidad,grupo
26010,DRAINAGE FINGER ABSCESS; SIMPL,0.4,Ortopedia,Muñeca_y_mano
26011,DRAINAGE FINGER ABSCESS; COMPLIC,1.7,Ortopedia,Muñeca_y_mano
26020,DRAINAGE TENDON SHEATH 1 DIGIT &/OR PALM,3.3,Ortopedia,Muñeca_y_mano
26025,DRAINAGE PALMAR BURSA; SNGL ULNAR/RADIAL,3.3,Ortopedia,Muñeca_y_mano
26030,DRAINAGE PALMAR BURSA; MX/COMPLIC,6.9,Ortopedia,Muñeca_y_mano
26034,INCS DEEP W/OP BONE CORTEX HAND/FINGER,2.9,Ortopedia,Muñeca_y_mano
26035,DECOMP FINGERS &/OR HAND INJ INJURY,6.9,Ortopedia,Muñeca_y_mano
26037,DECOMP FASCIOTOMY HAND,2.5,Ortopedia,Muñeca_y_mano
26040,FASCIOTOMY PALMAR DUPUYTREN'S CONTRACTURE; CLO,1.7,Ortopedia,Muñeca_y_mano
26045,FASCIOTOMY PALMAR DUPUYTREN'S CONTRACT; OP PART,2.5,Ortopedia,Muñeca_y_mano
26055,TENDON SHEATH INCS TRIGGER FINGER,2.5,Ortopedia,Muñeca_y_mano
26060,TENOTOMY SUBQ SNGL EA DIGIT,1.3,Ortopedia,Muñeca_y_mano
26070,ARTHROTOMY-INFEC W/EXPLOR; CARPOMETACARPAL JT,2.9,Ortopedia,Muñeca_y_mano
26075,ARTHROTOMY-INFEC W/EXPLOR-DRAIN-REMOV FB; MCP JT,2.9,Ortopedia,Muñeca_y_mano
26080,ARTHROTOMY-INFEC W/EXPLOR-DRAIN;IP JT EA,2.5,Ortopedia,Muñeca_y_mano
26100,ARTHROTOMY SYNOVIAL BX; CARPOMETACARPAL JT,3.3,Ortopedia,Muñeca_y_mano
26105,ARTHROTOMY SYNOVIAL BX; MCP JT,2.5,Ortopedia,Muñeca_y_mano
26110,ARTHROTOMY SYNOVIAL BX; IP JT EA,2,Ortopedia,Muñeca_y_mano
26115,EXC TUMOR/VASCUL MALFORM HAND/FINGER; SUBQ,1.8,Ortopedia,Muñeca_y_mano
26116,EXC TUMOR/VASCULAR MALFORM HAND/FINGER; DEEP/IM,2.5,Ortopedia,Muñeca_y_mano
26117,RADICAL RESECT TUMOR SOFT TISS HAND/FINGER,10.3,Ortopedia,Muñeca_y_mano
26121,FASCIECTOMY PALMAR ONLY W/WO Z-PLASTY/SKIN GFT,6.4,Ortopedia,Muñeca_y_mano
26123,FASCIECTOMY PALMAR; PART PALMAR EXC W/REL 1 DIGT,7.4,Ortopedia,Muñeca_y_mano
26125,FASCIECTOMY PALMAR; PART PALM EXC-EA ADD DIGIT,2.5,Ortopedia,Muñeca_y_mano
26130,SYNOVECTOMY CARPOMETACARPAL JT,4.2,Ortopedia,Muñeca_y_mano
26135,SYNOVECTOMY MCP JT INCL RELEAS & RECON EA DIGIT,5,Ortopedia,Muñeca_y_mano
26140,SYNOVECTOMY PROX IP JT INCL RECON EA IP JT,4.2,Ortopedia,Muñeca_y_mano
26145,SYNOVECTOMY RADICAL FLEXOR PALM/FINGER SNGL EA,5,Ortopedia,Muñeca_y_mano
26160,EXC LES TENDON SHEATH/CAPSULE HAND/FINGER,2,Ortopedia,Muñeca_y_mano
26170,EXC TENDON PALM FLEXOR SNGL (SEPART PROC) EA,2.5,Ortopedia,Muñeca_y_mano
26180,EXC TENDON FINGER FLEXOR (SEPART PROC),2.5,Ortopedia,Muñeca_y_mano
26200,EXC/CURET BONE CYST/BEN TUMOR METACARPAL,4.2,Ortopedia,Muñeca_y_mano
26205,EXC/CURET BONE CYST/TUMOR METACARPAL; W/AUTOGFT,5.4,Ortopedia,Muñeca_y_mano
26210,EXC/CURET BONE/TUMOR PROX/MID/DIST PHALANX FINGR,3.8,Ortopedia,Muñeca_y_mano
26215,EXC BONE CYST PROX/MID/DIST PHALANX; W/AUTOGFT,5,Ortopedia,Muñeca_y_mano
26230,PART EXC BONE; METACARPAL,3.3,Ortopedia,Muñeca_y_mano
26235,PART EXC BONE; PROX/MID PHALANX FINGER,2.9,Ortopedia,Muñeca_y_mano
26236,PART EXC BONE; DISTAL PHALANX FINGER,2.1,Ortopedia,Muñeca_y_mano
26250,RADICAL RESECT TUMOR METACARPAL,5,Ortopedia,Muñeca_y_mano
26255,RADICAL RESECT TUMOR METACARPAL; W/AUTOGFT,6.7,Ortopedia,Muñeca_y_mano
26260,RADICAL RESECT TUMOR PROX/MID PHALANX FINGER,5,Ortopedia,Muñeca_y_mano
26261,RADICAL RESECT TUMOR PROX/MID FINGER; W/AUTOGFT,5.8,Ortopedia,Muñeca_y_mano
26262,RADICAL RESECT TUMOR DISTAL PHALANX FINGER,5,Ortopedia,Muñeca_y_mano
26320,REMOV IMPLNT FROM FINGER/HAND,2.6,Ortopedia,Muñeca_y_mano
26350,FLEXOR TENDON REPR 1; PRIM/SECNDRY WO GFT-EA,5.3,Ortopedia,Muñeca_y_mano
26352,"FLEX TENDON REPR NOT ""NO MAN'S LAND""; 2ND W/ GFT",6.9,Ortopedia,Muñeca_y_mano
26356,FLEXOR TENDON REPR SNGL; PRIM EA TENDON,6.9,Ortopedia,Muñeca_y_mano
