codigo,cirugia,rvu,especialidad,grupo
22100,PART RESECT VERTEBRAL COMPONENT SPINOUS; CERV,4.4,Columna,Vertebral
22101,PART RESECT VERTEBRAL COMPONENT SPINOUS; THORACI,4.4,Columna,Vertebral
22102,PART RESECT VERTEBRAL COMPONENT SPINOUS; LUMBAR,4.4,Columna,Vertebral
22105,PART RESECT VERTEBRAL COMPONENT TUMOR; CERV,5.9,Columna,Vertebral
22106,PART RESECT VERTEBRAL COMPONENT TUMOR; THORACIC,5.9,Columna,Vertebral
22107,PART RESECT VERTEBRAL COMPONENT TUMOR; LUMBAR,5.9,Columna,Vertebral
22110,PART EXC VERTEBRAE; CERV,5.9,Columna,Vertebral
22112,PART EXC VERTEBRAE; THORACIC,5.9,Columna,Vertebral
22114,PART EXC VERTEBRAE; LUMBAR,5.9,Columna,Vertebral
22140,RECON SPINE W/GFT AFTER RESECT 1 VERTEBRAL; CERV,11.3,Columna,Vertebral
22141,RECON SPINE W/GFT AFTER RESECT 1 VERTEB; THORACI,11.8,Columna,Vertebral
22142,RECON SPINE W/GFT AFTER RESECT 1 VERTEB; LUMBAR,11.3,Columna,Vertebral
22145,RECON SPINE FOLLOWING VERTEBRAL BODY RESECT EA,5.4,Columna,Vertebral
22148,HARVEST BONE AUTOGFT-VERTEB RECON AFTER CORPECT,3.4,Columna,Vertebral
22150,RECON SPINE-PROSTH-AFTER RESECT 1/MORE BOD; CERV,10.8,Columna,Vertebral
22151,RECON SPINE-PROSTH-AFTER RESECT 1/MORE; THORACIC,11.3,Columna,Vertebral
22152,RECON SPINE-PROSTH-AFTER RESECT 1/MORE; LUMBAR,10.8,Columna,Vertebral
22210,OSTEOT SPINE-POST APPROACH-1 SEGMNT; CERV,18.1,Columna,Vertebral
22212,OSTEOT SPINE-POST APPROACH-1 SEGMNT; THORACIC,18.1,Columna,Vertebral
22214,OSTEOT SPINE-POST APPROACH-1 SEGMT; LUMBAR,17.2,Columna,Vertebral
22220,OSTEOT SPINE-ANT APPROACH-1 SEGMT; CERV,17.2,Columna,Vertebral
22222,OSTEOT SPINE-ANT APPROACH-1 SEGMT; THORACIC,17.2,Columna,Vertebral
22224,OSTEOT SPINE-ANT APPROACH-1 SEGMT; LUMBAR,17.2,Columna,Vertebral
22230,OSTEOTOMY SPINE CORRECT DEFORM EA ADD SEGMT,7.8,Columna,Vertebral
22305,CLO TX VERTEBRAL PROCESS FX,1,Columna,Vertebral
22310,CLO TX VERTEBRAL BODY FX WO MANIP,2,Columna,Vertebral
22315,CLO TX VERTEB FX/DISLOC W/WO ANES BY MANIP EA,4.7,Columna,Vertebral
22325,OP TX VERTEBRAL FX &/OR DISLOC; LUMBAR EA,11.8,Columna,Vertebral
22326,OP TX VERTEBRAL FX &/OR DISLOC; CERV EA,11.8,Columna,Vertebral
22327,OP TX VERTEBRAL FX/DISLOC; THORACIC EA,11.8,Columna,Vertebral
22505,MANIP SPINE REQUIRING ANES ANY REGION,0.5,Columna,Vertebral
22548,ARTHRODESIS-ANT-C1 C2-W/GFT W/WO ODONTOID PROCES,16.2,Columna,Vertebral
22554,ARTHRODESIS-ANT INTERBOD; CERV BELOW C2 W/GFT,14.7,Columna,Vertebral
22556,ARTHRODESIS-ANT; THORACIC W/COCAL BONE/ALLOGFT,16.2,Columna,Vertebral
22558,ARTHRODESIS-ANT INTERBODY TECH; LUMBAR W/GFT,14.7,Columna,Vertebral
22585,ARTHRODESIS-ANT-EA ADD INTERSPACE (LIST SEPART),3.7,Columna,Vertebral
22590,ARTHRODESIS-POST-CRANIOCERV W/BONE GFT-INT-FIXA,19.6,Columna,Vertebral
22595,ARTHRODESIS-POST-C1 C2 W/BONE GFT-INT FIXA,17.2,Columna,Vertebral
22600,ARTHRODESIS-POST-CERV BELO C2-LOCAL BONE/ALLOGFT,15.2,Columna,Vertebral
22610,ARTHRODESIS-POST-W/ALLOGFT-INT FIXA; THORACIC,10.3,Columna,Vertebral
22612,ARTHRODESIS-POST-W/ALLOGFT-INT FIXA; LUMBAR,15.2,Columna,Vertebral
22625,ARTHRODESIS LAT TRANSVERSE W/GFT-INT FIXA LUMBAR,13.2,Columna,Vertebral
22630,ARTHRODESIS-POST W/BONE ALLOGFT-INT FIXA LUMBAR,13.2,Columna,Vertebral
22650,ARTHRODESIS-POST-LAT TECH-EA ADD INTERSPACE,3.3,Columna,Vertebral
22800,ARTHRODESIS-POST-W/WO CAST W/GFT; 6/LESS VERTEBR,19.5,Columna,Vertebral
22802,ARTHRODESIS-POST-W/WO CAST W/GFT; 7/MORE VERTEBR,19.6,Columna,Vertebral
22810,ARTHRODESIS-ANT-W/WO CAST W/GFT; 4 TO 7 VERTEBRA,17.2,Columna,Vertebral
22812,ARTHRODESIS-ANT-W/WO CAST W/GFT; 8/MORE VERTEBRA,19.6,Columna,Vertebral
22820,HARVEST AUTOGFT SEPART INCS-SPINAL ARTHRODESIS,3.1,Columna,Vertebral
22830,EXPLOR SPINAL FUSION,22.1,Columna,Vertebral
22840,POST INSTRUM; WO SEGMT FIXA,18.1,Columna,Vertebral
22842,POST INSTRUM; SEGMT FIXA,20.6,Columna,Vertebral
22845,ANT INSTRUM,25,Columna,Vertebral
22849,REINSERTION SPINAL FIXA DEVICE,BR,Columna,Vertebral
22850,REMOV POST NONSEGMENTAL INSTRUM,6.4,Columna,Vertebral
22852,REMOV POST SEGMT INSTRUM,7.4,Columna,Vertebral
22855,REMOV ANT INSTRUM,12.3,Columna,Vertebral
22899,UNLISTED PROC SPINE,BR,Columna,Vertebral
22900,EXC ABD WALL TUMOR SUBFASCIAL,2.7,Columna,Vertebral
22999,UNLISTED PROC ABD MS SYST,BR,Columna,Vertebral
