codigo,cirugia,rvu,especialidad,grupo
61000,SUBDURAL TAP-FONTANELLE INFANT UNI/BILAT; INIT,1,Neurocirugía,Cráneo y columna
61001,SUBDURAL TAP-FONTANELLE INFANT; SUBSQT TAPS,0.7,Neurocirugía,Cráneo y columna
61020,VENTRICULAR PUNCT-PREV BURR HOLE/SUTURE; WO INJ,0.9,Neurocirugía,Cráneo y columna
61026,VENTRICULAR PUNCT-THRU SUTURE; W/INJ DRUG-DX/TX,1.1,Neurocirugía,Cráneo y columna
61050,CISTERNAL/LAT CERV PUNCT; WO INJ (SEPART PROC),1,Neurocirugía,Cráneo y columna
61055,CISTERNAL PUNCT; W/INJ DRUG/OTHER-DX/TX,1.6,Neurocirugía,Cráneo y columna
61070,PUNCT SHUNT TUBING/RESERVOIR-ASPIRAT/INJ PROC,0.6,Neurocirugía,Cráneo y columna
61105,TWIST DRILL HOLE; NOT FOLLOWED BY OTHER SURG,4.9,Neurocirugía,Cráneo y columna
61106,TWIST DRILL HOLE; FOLLOWED BY OTHER SURG,3.4,Neurocirugía,Cráneo y columna
61107,TWIST DRILL HOLE; INPLNT VENT CATH/RECORD DEVICE,5.4,Neurocirugía,Cráneo y columna
61108,TWIST DRILL HOLE; EVACUAT &/OR DRAIN HEMATOMA,9.8,Neurocirugía,Cráneo y columna
61120,BURR HOLE-VENT PUNCT; NOT FOLLOWED BY OTHER SURG,4.8,Neurocirugía,Cráneo y columna
61130,BURR HOLE-VENT PUNCT; FOLLOWED BY OTHER SURG,4,Neurocirugía,Cráneo y columna
61140,BURR HOLE/TREPHINE; W/BX-BRAIN/INTRACRAN LES,11.5,Neurocirugía,Cráneo y columna
61150,BURR HOLE/TREPHINE; W/DRAIN BRAIN ABSCESS/CYST,13.5,Neurocirugía,Cráneo y columna
61151,BURR HOLE; W/SUBSQT TAPPING INTRACRAN ABSCESS,1.1,Neurocirugía,Cráneo y columna
61154,BURR HOLE W/EVACUATION &/OR DRAIN HEMATOMA,14,Neurocirugía,Cráneo y columna
61156,BURR HOLE; W/ASPIRAT HEMATOMA/CYST INTRACEREBRAL,14.5,Neurocirugía,Cráneo y columna
61210,BURR HOLE; IMPLNT VENTRICULAR CATH (SEPART PROC),5.7,Neurocirugía,Cráneo y columna
61215,INSRT SUBQ RESERVOIR/PUMP-CONNECT TO VENT CATH,4.9,Neurocirugía,Cráneo y columna
61250,BURR HOLE/TREPHINE-SUPRATENTOR-NO OTHER SURG,7.4,Neurocirugía,Cráneo y columna
61253,BURR HOLE/TREPHINE-INFRATENTORIAL-UNILAT/BILAT,9.8,Neurocirugía,Cráneo y columna
61304,CRANIECTOMY/CRANIOTOMY EXPLOR; SUPRATENTORIAL,14.3,Neurocirugía,Cráneo y columna
61305,CRANIECTOMY/CRANIOTOMY EXPLOR; INFRATENTORIAL,15.7,Neurocirugía,Cráneo y columna
61312,CRANIECTOMY-HEMATOMA-SUPRATENT; EXTRA/SUBDURAL,14.7,Neurocirugía,Cráneo y columna
61313,CRANIECTOMY-HEMATOMA-SUPRATENT; INTRACEREBRAL,14.7,Neurocirugía,Cráneo y columna
61314,CRANIECTOMY-HEMATOMA-INFRATENT; EXTRA/SUBDURAL,14.7,Neurocirugía,Cráneo y columna
61315,CRANIECTOMY-HEMATOMA-INFRATENT; INTRACEREBELLAR,14.7,Neurocirugía,Cráneo y columna
61320,CRANIECTOMY DRAIN INTRACRAN ABSCESS; SUPRATENT,14.3,Neurocirugía,Cráneo y columna
61321,CRANIECTOMY DRAIN INTRACRAN ABSCESS; INFRATENT,17,Neurocirugía,Cráneo y columna
61330,DECOMP ORBIT ONLY TRANSCRANIAL APPROACH,14.5,Neurocirugía,Cráneo y columna
61332,EXPLOR ORBIT; W/BX,17.9,Neurocirugía,Cráneo y columna
61333,EXPLOR ORBIT; W/REMOV LES,17.9,Neurocirugía,Cráneo y columna
61334,EXPLOR ORBIT; W/REMOV F B,17.9,Neurocirugía,Cráneo y columna
61340,OTHER CRANIAL DECOMP SUPRATENTORIAL,9.1,Neurocirugía,Cráneo y columna
61343,CRANIECTOMY-SUBOCCIPIT W/LAMINEC W/WO DURAL GFT,24.9,Neurocirugía,Cráneo y columna
61345,OTHER CRANIAL DECOMP POST FOSSA,9.3,Neurocirugía,Cráneo y columna
61440,CRANIOTOMY-SECT TENTORIUM CEREBELLI (SEP PRO),11.7,Neurocirugía,Cráneo y columna
61450,CRANIECTOMY-SUBTEMPORAL-SECT GASSERIAN GANGLION,16,Neurocirugía,Cráneo y columna
61458,CRANIECTOMY SUBOCCIPITAL; EXPLOR CRANIAL NERV,17.4,Neurocirugía,Cráneo y columna
61460,CRANIECTOMY SUBOCCIPIT; SECT-1/MORE CRANIAL NERV,17.1,Neurocirugía,Cráneo y columna
61470,CRANIECTOMY SUBOCCIPITAL; MEDULLARY TRACTOTOMY,17.1,Neurocirugía,Cráneo y columna
61480,CRANIECTOMY SUBOCCIPITAL; PEDUNCULOTOMY,17.1,Neurocirugía,Cráneo y columna
61490,CRANIOTOMY LOBOTOMY INCL CINGULOTOMY,13.5,Neurocirugía,Cráneo y columna
61500,CRANIECTOMY; W/EXC TUMOR/OTHER BONE LES-SKULL,16.2,Neurocirugía,Cráneo y columna
61501,CRANIECTOMY; OSTEOMYELITIS,12.7,Neurocirugía,Cráneo y columna
61510,CRANIECTOMY; EXC BRAIN TUMOR-SUPRATENTORIAL,20,Neurocirugía,Cráneo y columna
61512,CRANIECTOMY; EXC MENINGOMA-SUPRATENTORIAL,23,Neurocirugía,Cráneo y columna
61514,CRANIECTOMY; EXC BRAIN ABSCESS-SUPRATENTORIAL,20,Neurocirugía,Cráneo y columna
61516,CRANIECTOMY; EXC/FENESTRATION CYST-SUPRATENT,20,Neurocirugía,Cráneo y columna
61518,CRANIECTOMY-EXC TUMOR-POST FOSSA; EX MENINGIOMA,24,Neurocirugía,Cráneo y columna
61519,CRANIECTOMY-EXC TUMOR-POST FOSSA; MENINGIOMA,25,Neurocirugía,Cráneo y columna
61520,CRANIECTOMY-POST FOSSA; CEREBELLOPONTINE ANGLE,25,Neurocirugía,Cráneo y columna
61521,CRANIECTOMY-EXC TUMOR; MIDLINE TUMOR @ BASE SKUL,26.5,Neurocirugía,Cráneo y columna
61522,CRANIECTOMY INFRATENTORIAL; EXC BRAIN ABSCESS,20,Neurocirugía,Cráneo y columna
61524,CRANIECTOMY INFRATENTORIAL; EXC/FENESTRAT CYST,20,Neurocirugía,Cráneo y columna
61526,CRANIECTOMY-TRANSTEMPORAL-EXC CEREBELLOPONTINE,20,Neurocirugía,Cráneo y columna
61530,CRANIECTOMY; COMBO W/POST FOSSA CRANIOTOMY,20.6,Neurocirugía,Cráneo y columna
61531,SUBDURAL IMPLNT STRIP ELECTRODES THRU BURR HOLE,12,Neurocirugía,Cráneo y columna
61533,CRANIOTOMY W/ELEVAT FLAP; IMPLNT ELECTRODE ARRAY,19.1,Neurocirugía,Cráneo y columna
61534,CRANIOTOMY W/ELEV FLAP; EXC EPILEPTOGENIC FOCUS,19.9,Neurocirugía,Cráneo y columna
61535,CRANIOTOMY W/FLAP; REMOV ELECT ARRAY (SEP PRO),12.7,Neurocirugía,Cráneo y columna
61536,CRANIOTOMY W/FLAP; EXC CEREBRAL EPILEPTOGENIC,19.6,Neurocirugía,Cráneo y columna
61538,CRANIOTOMY W/FLAP; LOBECTOMY TEMPORAL LOBE,22,Neurocirugía,Cráneo y columna
61539,CRANIOTOMY W/FLAP; LOBECTOMY-NOT TEMPORAL LOBE,22,Neurocirugía,Cráneo y columna
61541,CRANIOTOMY W/FLAP; TRANSECTION CORPUS CALLOSUM,24.5,Neurocirugía,Cráneo y columna
