codigo,cirugia,rvu,especialidad,grupo
65091,EVISCERATION OCULAR CONTENTS; WO IMPLNT,5.6,Oftalmología,Ojo y retina
65093,EVISCERATION OCULAR CONTENTS; W/IMPLNT,6.2,Oftalmología,Ojo y retina
65101,ENUCLEATION EYE; WO IMPLNT,5.6,Oftalmología,Ojo y retina
65103,ENUCLEAT EYE; W/IMPLNT MUSCL NOT ATTACHED-IMPLNT,6.5,Oftalmología,Ojo y retina
65105,ENUCLEATION EYE; W/IMPLNT MUSCL ATTACHED-IMPLNT,7.8,Oftalmología,Ojo y retina
65110,EXENTERATION ORBIT REMOV ORBITAL CONTENTS; ONLY,11,Oftalmología,Ojo y retina
65112,EXENTERATION ORBITAL CONTENTS; W/REMOV BONE,12.5,Oftalmología,Ojo y retina
65114,EXENTERAT ORBITAL CONTENTS; W/MUSCL/MYOCUT FLAP,13.5,Oftalmología,Ojo y retina
65125,MODIFICATION OCULAR IMPLNT (SEPART PROC),BR,Oftalmología,Ojo y retina
65130,INSRT OCULAR IMPLNT SECNDRY; AFTER EVISCERATION,5.6,Oftalmología,Ojo y retina
65135,INSRT OCULAR IMPLNT SECNDRY; AFTER ENUCLEATION,6.7,Oftalmología,Ojo y retina
65140,INSRT OCULAR IMPLNT; ENUCLEAT-MUSCL ATTACH-IMPLT,7.8,Oftalmología,Ojo y retina
65150,REINSRT OCULAR IMPLNT; W/WO CONJUNC GFT,5.4,Oftalmología,Ojo y retina
65155,REINSRT OCULAR IMPLNT; W/FOREIGN MAT REINFORCE,7.4,Oftalmología,Ojo y retina
65175,REMOV OCULAR IMPLNT,3.9,Oftalmología,Ojo y retina
65205,REMOV F B EXT EYE; CONJUNC SUPERF,0.2,Oftalmología,Ojo y retina
65210,REMOV F B EXT EYE; CONJUNC EMBEDDED/SUBCONJUNC,0.3,Oftalmología,Ojo y retina
65220,REMOV F B EXT EYE; CORNEAL WO SLIT LAMP,0.3,Oftalmología,Ojo y retina
65222,REMOV F B EXT EYE; CORNEAL W/SLIT LAMP,0.4,Oftalmología,Ojo y retina
65235,REMOV F B IO; FROM ANT CHAMBER/LENS,6.4,Oftalmología,Ojo y retina
65260,REMOV F B IO; POST SEGMT-MAGNETIC EXTRACTION,6.7,Oftalmología,Ojo y retina
65265,REMOV F B IO; POST SEGMT NONMAGNETIC EXTRACTION,9,Oftalmología,Ojo y retina
65270,REPR LACERAT; CONJUNC W/WO LACERAT SCLERA,0.6,Oftalmología,Ojo y retina
65272,REPR LACERAT; CONJUNC BY MOBILIZA WO HOSP,0.9,Oftalmología,Ojo y retina
65273,REPR LACERAT; CONJUNC BY MOBILIZA W/HOSP,1.5,Oftalmología,Ojo y retina
65275,REPR LACERAT; CORNEA NONPERFORAT W/WO REMOV F B,3.9,Oftalmología,Ojo y retina
