codigo,cirugia,rvu,especialidad,grupo
23000,REMOV SUBDELTOID CALCAREOUS DEPOSITS OP METHD,2.9,Ortopedia,Hombro
23020,CAPSULAR CONTRACTURE RELEASE ERB'S PALSY,5.9,Ortopedia,Hombro
23030,I&D SHOULDER AREA; DEEP ABSCESS/HEMATOMA,2,Ortopedia,Hombro
23031,I&D SHOULDER AREA; INFEC BURSA,2,Ortopedia,Hombro
23035,INCS DEEP W/OP CORTEX SHOULDER AREA,3.9,Ortopedia,Hombro
23040,ARTHROTOMY GLENOHUMERAL JT W/EXPLOR-REMOV F B,5.6,Ortopedia,Hombro
23044,ARTHROTOMY AC/STERNOCLAV JT W/EXPLOR-REMOV F B,3.3,Ortopedia,Hombro
23065,BX SOFT TISS SHOULDER AREA; SUPERF,0.7,Ortopedia,Hombro
23066,BX SOFT TISS SHOULDER AREA; DEEP,1.8,Ortopedia,Hombro
23075,EXC TUMOR SHOULDER AREA; SUBQ,1.5,Ortopedia,Hombro
23076,EXC TUMOR SHOULDER AREA; DEEP SUBFASCIAL/IM,2.9,Ortopedia,Hombro
23077,RADICAL RESECT TUMOR SOFT TISS SHOULDER AREA,21.1,Ortopedia,Hombro
23100,ARTHROTOMY BX GLENOHUMERAL JT,4.9,Ortopedia,Hombro
23101,ARTHROTOMY-BX/EXC CARTILAGE-AC/STERNOCLAV JT,4.8,Ortopedia,Hombro
23105,ARTHROTOMY SYNOVECTOMY; GLENOHUMERAL JT,8.8,Ortopedia,Hombro
23106,ARTHROTOMY SYNOVECTOMY; STERNOCLAVICULAR JT,5.9,Ortopedia,Hombro
23107,ARTHROTOMY-GLENOHUMERAL JT W/EXPLOR W/WO REMOV,6.5,Ortopedia,Hombro
23120,CLAVICULECTOMY; PART,4.7,Ortopedia,Hombro
23125,CLAVICULECTOMY; TOT,7.8,Ortopedia,Hombro
23130,ACROMIOPLASTY/ACROMIONECTOMY PART,4.7,Ortopedia,Hombro
23140,EXC/CURET BONE CYST/BEN TUMOR CLAV/SCAPULA,3,Ortopedia,Hombro
23145,EXC/CURET BONE CYST/TUMOR CLAV/SCAP; W/AUTOGFT,4.6,Ortopedia,Hombro
23146,EXC/CURET BONE CYST/TUMOR CLAV/SCAP; W/ALLOGFT,3.9,Ortopedia,Hombro
23150,EXC/CURET BONE CYST/BEN TUMOR PROX HUMERUS,5.9,Ortopedia,Hombro
23155,EXC/CURET BONE CYST/TUMOR PROX HUMERUS; W/AUTOGF,7.4,Ortopedia,Hombro
23156,EXC/CURET BONE CYST/TUMOR PROX HUMERUS; W/ALLOGF,6.4,Ortopedia,Hombro
23170,SEQUESTRECTOMY CLAV,4.4,Ortopedia,Hombro
23172,SEQUESTRECTOMY SCAPULA,5.9,Ortopedia,Hombro
23174,SEQUESTRECTOMY HUMERAL HEAD TO SURG NECK,9.8,Ortopedia,Hombro
23180,PART EXC BONE CLAV,3.3,Ortopedia,Hombro
23182,PART EXC BONE SCAPULA,3.9,Ortopedia,Hombro
23184,PART EXC BONE PROX HUMERUS,5.9,Ortopedia,Hombro
23190,OSTECTOMY SCAPULA PART,4.7,Ortopedia,Hombro
23195,RESECT HUMERAL HEAD,7.8,Ortopedia,Hombro
23200,RADICAL RESECT TUMOR; CLAV,5.9,Ortopedia,Hombro
23210,RADICAL RESECT TUMOR; SCAPULA,9.8,Ortopedia,Hombro
23220,RADICAL RESECT TUMOR PROX HUMERUS,9.8,Ortopedia,Hombro
23221,RADICAL RESECT TUMOR PROX HUMERUS; W/AUTOGFT,11.8,Ortopedia,Hombro
23222,RAD RESECT TUMOR PROX HUMERUS; W/PROSTH REPLAC,11.8,Ortopedia,Hombro
23330,REMOV F B SHOULDER; SUBQ,0.6,Ortopedia,Hombro
23331,REMOV F B SHOULDER; DEEP,2.9,Ortopedia,Hombro
23332,"REMOV F B SHOULDER; COMPLIC INCL""TOT SHOULDER""",10.8,Ortopedia,Hombro
23350,INJ PROC SHOULDER ARTHROGRAPHY,0.3,Ortopedia,Hombro
23395,MUSCL TRANSF-PARALYSIS SHOULDER UPPER ARM; SNGL,9.8,Ortopedia,Hombro
23397,MUSCL TRANSF-PARALYSIS SHOULDER UPPER ARM; MX,BR,Ortopedia,Hombro
23400,SCAPULOPEXY,9.8,Ortopedia,Hombro
23405,TENOMYOTOMY SHOULDER AREA; SNGL,5.3,Ortopedia,Hombro
23406,TENOMYOTOMY SHOULDER AREA; MX THRU SAME INCS,6.4,Ortopedia,Hombro
23410,REPR RUPT SUPRASPINAT MUSCULOTENDIN CUFF; ACUTE,7.2,Ortopedia,Hombro
23412,REPR RUPT SUPRASPINAT MUSCULOTENDIN CUFF; CHRONI,9.1,Ortopedia,Hombro
23415,CORACOACROMIAL LIG RELEASE W/WO ACROMIOPLASTY,4.9,Ortopedia,Hombro
23420,REPR COMPLT SHOULDER CUFF AVULSION CHRONIC,12,Ortopedia,Hombro
23430,TENODESIS RUPT LONG TENDON BICEPS,6.4,Ortopedia,Hombro
23440,RESECT/TRANSPL LONG TENDON BICEPS-TENOSYNOVITIS,5.9,Ortopedia,Hombro
23450,CAPSULORRHAPHY RECUR DISLOC ANT; PUTTI-PLATT,11,Ortopedia,Hombro
23455,CAPSULORRHAPHY RECUR DISLOC ANT; BANKART TYPE,11.2,Ortopedia,Hombro
23460,CAPSULORRHAPHY RECUR DISLOC ANT; W/BONE BLOCK,11.7,Ortopedia,Hombro
23462,CAPSULORRHAPHY RECUR DISLOC ANT; W/CORACOID TRNS,10.6,Ortopedia,Hombro
23465,CAPSULORRHAPHY RECUR DISLOC POST; W/WO BONE BLOC,9.8,Ortopedia,Hombro
23466,CAPSULORRHAPHY RECUR DISLOC W/MULTI-DIRECT INSTA,11,Ortopedia,Hombro
23470,ARTHROPLASTY W/PROX HUMERAL IMPLNT,10.9,Ortopedia,Hombro
23472,ARTHROPLASTY W/GLENOID & PROX HUMERAL REPLAC,17.6,Ortopedia,Hombro
23480,OSTEOTOMY CLAV W/WO INT FIXA,5.5,Ortopedia,Hombro
23485,OSTEOTOMY CLAV W/WO INT FIXA; W/GFT-NON/MALUNION,8,Ortopedia,Hombro
23490,PROPHYLACTIC TX W/WO METHYLMETHACRYLATE; CLAV,5.9,Ortopedia,Hombro
23491,PROPHYLACTIC TX; PROX HUMERUS & HUMERAL HEAD,7.4,Ortopedia,Hombro
23500,CLO TX CLAV FX; WO MANIP,1,Ortopedia,Hombro
23505,CLO TX CLAV FX; W/MANIP,1.8,Ortopedia,Hombro
23515,OP TX CLAV FX W/WO INT/EXT FIXA,6,Ortopedia,Hombro
23520,CLO TX STERNOCLAVICULAR DISLOC; W/O MANIP,1,Ortopedia,Hombro
23525,CLO TX STERNOCLAVICULAR DISLOC; W/MANIP,1.8,Ortopedia,Hombro
23530,OP TX STERNOCLAVICULAR DISLOC ACUTE/CHRONIC,6,Ortopedia,Hombro
23532,OP TX STERNOCLAV DISLOC ACUTE/CHRON; W/FASCL GFT,7.3,Ortopedia,Hombro
23540,CLO TX ACROMIOCLAVICULAR DISLOC; WO MANIP,1,Ortopedia,Hombro
23545,CLO TX ACROMIOCLAVICULAR DISLOC; W/MANIP,1.5,Ortopedia,Hombro
23550,OP TX ACROMIOCLAV DISLOC ACUTE/CHRONIC,6.4,Ortopedia,Hombro
23552,OP TX AC DISLOC ACUTE/CHRONIC; W/FASCIAL GFT,8.7,Ortopedia,Hombro
23570,CLO TX SCAPULAR FX; WO MANIP,1,Ortopedia,Hombro
23575,CLO TX SCAPULAR FX; W/MANIP W/WO SKELET TRACTION,1.9,Ortopedia,Hombro
23585,OP TX SCAPULAR FX W/WO INT FIXA,8,Ortopedia,Hombro
23600,CLO TX PROX HUMERAL FX; WO MANIP,1.4,Ortopedia,Hombro
23605,CLO TX PROX HUMERAL FX; W/MANIP W/WO SKELE TRACT,2.6,Ortopedia,Hombro
23615,OP TX PROX HUMER FX W/WO INT/EXT FIXAREPR TUBERO,5.9,Ortopedia,Hombro
23616,OP TX PROX HUMER FX; W/PROX HUMERAL PROSTH REPLA,11.8,Ortopedia,Hombro
23620,CLO TX GREATER TUBEROSITY FX; WO MANIP,1,Ortopedia,Hombro
23625,CLO TX GREATER TUBEROSITY FX; W/MANIP,1.9,Ortopedia,Hombro
23630,OP TX GREATER TUBEROSITY FX W/WO INT/EXT FIXA,6,Ortopedia,Hombro
23650,CLO TX SHOULDER DISLOC W/MANIP; WO ANES,1.3,Ortopedia,Hombro
23655,CLO TX SHOULDER DISLOC W/MANIP; REQUIRING ANES,2.2,Ortopedia,Hombro
23660,OP TX ACUTE SHOULDER DISLOC,5.9,Ortopedia,Hombro
23665,CLO TX SHOULDR DISLOC W/FX GR TUBEROSITY W/MANIP,2,Ortopedia,Hombro
23670,OP TX SHLDR DISLOC W/FX TUBEROS W/WO INT/EXT FIX,8,Ortopedia,Hombro
23675,CLO TX SHOULDER DISLOC W/SURG NECK FX W/MANIP,2.7,Ortopedia,Hombro
23680,OP TX SHOULDER DISLOC W/SURG NECK FX W/WO FIXA,9.1,Ortopedia,Hombro
23700,MANIP W/ANES SHLDR JT INCL APPLIC FIXA APPARATUS,1.7,Ortopedia,Hombro
23800,ARTHRODESIS SHOULDER JT; W/WO LOCAL BONE GFT,9.8,Ortopedia,Hombro
23802,ARTHRODESIS SHOULDER JT; W/PRIMARY AUTOGEN GFT,11.3,Ortopedia,Hombro
23900,INTERTHORACOSCAPULAR AMPUTA,12.5,Ortopedia,Hombro
23920,DISART SHOULDER,9.3,Ortopedia,Hombro
23921,DISART SHOULDER; SECNDRY CLO/SCAR REVIS,2.7,Ortopedia,Hombro
23929,UNLISTED PROC SHOULDER,BR,Ortopedia,Hombro
23930,I&D UPPER ARM/ELBOW AREA; DEEP ABSCESS/HEMATOMA,2,Ortopedia,Hombro
23931,I&D UPPER ARM/ELBOW AREA; INFEC BURSA,2,Ortopedia,Hombro
23935,INCS DEEP W/OP BONE CORTEX HUMERUS/ELBOW,3.9,Ortopedia,Hombro
