codigo,cirugia,rvu,especialidad,grupo
25000,TENDON SHEATH INCS; RADIAL STYLOID DEQUERVAIN'S,3.2,Ortopedia,Muñeca y mano
25005,TENDON SHEATH INCS; WRIST-OTHER STENOSING,3.2,Ortopedia,Muñeca y mano
25020,DECOMP FASCIOT FOREARM/WRIST; FLEXOR/EXTENSOR,3.4,Ortopedia,Muñeca y mano
25023,DECOMP FASCIOT FOREARM; W/DEBRID NONVIABLE MUSCL,4.4,Ortopedia,Muñeca y mano
25028,I&D  FOREARM/WRIST; DEEP ABSCESS/HEMATOMA,2,Ortopedia,Muñeca y mano
25031,I&D FOREARM &/OR WRIST; INFEC BURSA,2,Ortopedia,Muñeca y mano
25035,INCS DEEP W/OP BONE CORTEX FOREARM/WRIST,3.9,Ortopedia,Muñeca y mano
25040,ARTHROTOMY RADIO-MEDIOCARPAL W/EXPLOR/DRAIN,4.9,Ortopedia,Muñeca y mano
25065,BX SOFT TISS FOREARM &/OR WRIST; SUPERF,0.8,Ortopedia,Muñeca y mano
25066,BX SOFT TISS FOREARM &/OR WRIST; DEEP,2,Ortopedia,Muñeca y mano
25075,EXC TUMOR FOREARM &/OR WRIST AREA; SUBQ,1.5,Ortopedia,Muñeca y mano
25076,EXC TUMOR FOREARM/WRIST AREA; DEEP/SUBFASCIAL/IM,2.5,Ortopedia,Muñeca y mano
25077,RAD RESECT TUMOR SOFT TISS FOREARM/WRIST AREA,9.8,Ortopedia,Muñeca y mano
25085,CAPSULOTOMY WRIST,5.4,Ortopedia,Muñeca y mano
25100,ARTHROTOMY WRIST JT; BX,3.6,Ortopedia,Muñeca y mano
25101,ARTHROTOMY WRIST JT; W/EXPLOR W/WO BX/REMOV F B,4.1,Ortopedia,Muñeca y mano
25105,ARTHROTOMY WRIST JT; SYNOVECTOMY,5.8,Ortopedia,Muñeca y mano
25107,ARTHROTOMY DISTAL RADIOULNAR JT,5.6,Ortopedia,Muñeca y mano
