codigo,cirugia,rvu,especialidad,grupo
28001,I&D INFEC BURSA FT,0.7,Ortopedia,Pie
28002,DEEP DISSECTION BELOW FASCIA; 1 BURSA SPACE-SPEC,2,Ortopedia,Pie
28003,DEEP DISSECTION BELOW FASCIA; MX AREAS,2.9,Ortopedia,Pie
28005,INCS DEEP W/OP BONE CORTEX FT,3.1,Ortopedia,Pie
28008,FASCIOTOMY FT &/OR TOE,2,Ortopedia,Pie
28010,TENOTOMY SUBQ TOE; SNGL,0.9,Ortopedia,Pie
28011,TENOTOMY SUBQ TOE; MX,1.5,Ortopedia,Pie
28020,ARTHROTOMY W/EXPLOR; INTERTARS/TARSOMETATARS JT,2.9,Ortopedia,Pie
28022,ARTHROTOMY W/EXPLOR; METATARSOPHALANGEAL JT,2.4,Ortopedia,Pie
28024,ARTHROTOMY W/EXPLOR; IP JT,2,Ortopedia,Pie
28030,NEURECTOMY INTRINSIC MUSCL FT,3.4,Ortopedia,Pie
28035,TARSAL TUNNEL RELEASE,5.3,Ortopedia,Pie
28043,EXC TUMOR FT; SUBQ,1.5,Ortopedia,Pie
28045,EXC TUMOR FT; DEEP/SUBFASCIAL/IM,2.5,Ortopedia,Pie
28046,RADICAL RESECT TUMOR SOFT TISS FT,15.2,Ortopedia,Pie
28050,ARTHROTOMY SYNOVIAL BX; INTERTARSAL/TARSOMETA JT,2.9,Ortopedia,Pie
28052,ARTHROTOMY SYNOVIAL BX; METATARSOPHALANGEAL JT,2.4,Ortopedia,Pie
28054,ARTHROTOMY SYNOVIAL BX; IP JT,2,Ortopedia,Pie
28060,FASCIECTOMY EXC PLANTAR FASCIA; PART (SEP PRO),3.3,Ortopedia,Pie
28062,FASCIECTOMY PLANTAR; RADICAL (SEPART PROC),6.4,Ortopedia,Pie
28070,SYNOVECTOMY; INTERTARSAL/TARSOMETATARSAL JT EA,4,Ortopedia,Pie
28072,SYNOVECTOMY; METATARSOPHALANGEAL JT EA,2.4,Ortopedia,Pie
28080,EXC INTERDIGITAL NEUROMA SNGL EA,2.6,Ortopedia,Pie
28086,SYNOVECTOMY TENDON SHEATH FT; FLEXOR,3.4,Ortopedia,Pie
28088,SYNOVECTOMY TENDON SHEATH FT; EXTENSOR,3.3,Ortopedia,Pie
28090,EXC LES TENDON/FIBROUS SHEATH/CAPSULE; FT,2.4,Ortopedia,Pie
28092,EXC LES TENDON/FIBROUS SHEATH/CAPSULE; TOES,1.5,Ortopedia,Pie
28100,EXC/CURET BONE CYST/BEN TUMOR TALUS/CALCAN,4,Ortopedia,Pie
28102,EXC/CURET BONE CYST TALUS/CALCAC; W/ILIAC/AUTOGF,6.4,Ortopedia,Pie
28103,EXC/CURET BONE CYST TALUS/CALCAN; W/ALLOGFT,4.9,Ortopedia,Pie
28104,EXC/CURET BONE CYST TARSAL/METATARS EX TALUS,3.3,Ortopedia,Pie
28106,EXC/CURET BONE CYST TARSAL EX TALUS; W/AUTOGFT,4.9,Ortopedia,Pie
28107,EXC/CURET BONE CYST TARSAL EX TALUS; W/ALLOGFT,4.9,Ortopedia,Pie
28108,EXC/CURET BONE CYST/BEN TUMOR PHALANGES FT,2.5,Ortopedia,Pie
28110,OSTEOTOMY PART EXC 5TH METATARSAL HEAD (SEP PRO),2.9,Ortopedia,Pie
28111,OSTECTOMY COMPLT EXC; FIRST METATARSAL HEAD,3.9,Ortopedia,Pie
28112,OSTECTOMY COMPLT EXC; OTHER METATARSAL HEAD,2.7,Ortopedia,Pie
28113,OSTECTOMY COMPLT EXC; FIFTH METATARSAL HEAD,2.9,Ortopedia,Pie
28114,OSTECTOMY-COMPLT; ALL METATARS HEADS EXCLD 1ST,8,Ortopedia,Pie
28116,OSTECTOMY EXC TARSAL COALITION,4.7,Ortopedia,Pie
28118,OSTECTOMY CALCAN,3.9,Ortopedia,Pie
28119,OSTECTOMY CALCAN; SPUR W/WO PLANTAR FASC RELEASE,3.7,Ortopedia,Pie
28120,PART EXC BONE TALUS/CALCAN,4,Ortopedia,Pie
28122,PART EXC BONE TARSAL/METATARS EX TALUS/CALCAN,3.2,Ortopedia,Pie
28124,PART EXC BONE PHALANX TOE,2.4,Ortopedia,Pie
28126,CONDYLECTOMY PHALANGEAL BASE SNGL TOE EA,2.3,Ortopedia,Pie
28130,TALECTOMY,5.9,Ortopedia,Pie
28140,METATARSECTOMY,4,Ortopedia,Pie
28150,PHALANGECTOMY TOE SNGL EA,2.4,Ortopedia,Pie
28153,RESECT HEAD PHALANX TOE,2.5,Ortopedia,Pie
28160,HEMIPHALANGECTOMY/IP JT EXC TOE SNGL EA,2.5,Ortopedia,Pie
28171,RADICAL RESECT TUMOR; TARSAL,4.9,Ortopedia,Pie
28173,RADICAL RESECT TUMOR; METATARSAL,3.9,Ortopedia,Pie
28175,RADICAL RESECT TUMOR; PHALANX TOE,2.7,Ortopedia,Pie
28190,REMOV F B FT; SUBQ,1.5,Ortopedia,Pie
28192,REMOV F B FT; DEEP,2.3,Ortopedia,Pie
28193,REMOV F B FT; COMPLIC,3.2,Ortopedia,Pie
28200,REPR/SUTURE TENDON FT FLEXOR 1; PRIM/2ND EA TEND,4,Ortopedia,Pie
28202,REPR/SUTURE TENDON FT FLEXOR 1; 2ND W/GFT EA,5.3,Ortopedia,Pie
28208,REPR/SUTURE TENDON FT EXTENSOR 1; PRIM/2ND EA,1.9,Ortopedia,Pie
28210,REPR/SUTURE TENDON FT EXTENSOR 1; 2ND W/GFT EA,2.9,Ortopedia,Pie
28220,TENOLYSIS FLEXOR FT; SNGL,3.3,Ortopedia,Pie
28222,TENOLYSIS FLEXOR FT; MX,4,Ortopedia,Pie
28225,TENOLYSIS EXTENSOR FT; SNGL,1.9,Ortopedia,Pie
28226,TENOLYSIS EXTENSOR FT; MX,2.4,Ortopedia,Pie
28230,TENOTOMY OP FLEXOR; FT SNGL/MX (SEPART PROC),2,Ortopedia,Pie
28232,TENOTOMY OP FLEXOR; TOE SNGL (SEPART PROC),1,Ortopedia,Pie
28234,TENOTOMY OP EXTENSOR FT/TOE,1,Ortopedia,Pie
28236,TRANSF TENDON ANT TIBIAL INTO TARSAL BONE,4.5,Ortopedia,Pie
28238,ADVANC POST TIB TENDON W/EXC ACCES NAVICULAR,4.7,Ortopedia,Pie
28240,TENOTOMY LENGTHEN/RELEASE ABDUCTOR HALLUCIS MUSL,2.4,Ortopedia,Pie
28250,DIVISION PLANTAR FASCIA & MUSCL (SEPART PROC),3.3,Ortopedia,Pie
28260,CAPSULOTOMY MIDFOOT; MEDIAL RELEASE (SEPART PRO),5.3,Ortopedia,Pie
28261,CAPSULOTOMY MIDFOOT; W/TENDON LENGTHENING,6,Ortopedia,Pie
28262,CAPSULOTOMY MIDFT; EXTEN W/POST TALOTIB CAPSULOT,9.3,Ortopedia,Pie
28264,CAPSULOTOMY MIDTARSAL,6.4,Ortopedia,Pie
28270,CAPSULOT CONTRACT; MTP JT SNGL EA JT (SEP PRO),2,Ortopedia,Pie
28272,CAPSULOTOMY CONTRACT; IP JT SNGL EA JT (SEP PRO),1.5,Ortopedia,Pie
28280,WEBBING OR SOFT CORN,2.7,Ortopedia,Pie
28285,HAMMERTOE OR; 1 TOE,2.8,Ortopedia,Pie
28286,HAMMERTOE OR; COCK-UP 5TH TOE W/PLASTIC SKIN CLO,2.9,Ortopedia,Pie
28288,OSTECTOMY PART SNGL 1ST-5TH EA METATARSAL HEAD,2.9,Ortopedia,Pie
28290,HALLUX VALGUS-W/WO SESAMOIDECT; SIMPL EXOSTECTMY,4.1,Ortopedia,Pie
28292,HALLUX VALGUS; KELLER/MCBRIDE/MAYO TYPE PROC,4.9,Ortopedia,Pie
28293,HALLUX VALGUS-W/WO SESAMOIDEC; RESEC JT W/IMPLNT,5.3,Ortopedia,Pie
28294,HALLUX VALGUS CORRECT W/WO SESAMOIDECTOMY; W/TE,6.3,Ortopedia,Pie
28296,HALLUX VALGUS-W/WO SESAMOIDECT; W/TENDON TRANSPL,6.3,Ortopedia,Pie
28297,HALLUX VALGUS-W/WO SESAMOIDECT; LAPIDUS TYPE PRO,6.3,Ortopedia,Pie
28298,HALLUX VALGUS W/WO SESAMOIDECT; BY PHALANX OSTEC,4.7,Ortopedia,Pie
28299,HALLUX VALGUS-W/WO SESAMOIDECT; BY OTHER METHD,BR,Ortopedia,Pie
28300,OSTEOTOMY; CALCAN W/WO INT FIXA,4.9,Ortopedia,Pie
28302,OSTEOTOMY; TALUS,4.9,Ortopedia,Pie
28304,OSTEOTOMY MIDTARSAL BONES NOT CALCAN/TALUS,4.4,Ortopedia,Pie
28305,OSTEOT MIDTARSAL NOT CALCAN/TALUS; W/AUTOGFT,4.9,Ortopedia,Pie
28306,OSTEOT METATARSAL BASE/SHAFT SNGL; 1ST METATARS,4.2,Ortopedia,Pie
28307,OSTEOT BASE/SHAFT SNGL; 1ST METATARSAL W/AUTOGFT,4.8,Ortopedia,Pie
28308,OSTEOT BASE/SHAFT SNGL; NOT 1ST METATARSAL,3.2,Ortopedia,Pie
28309,OSTEOTOMY METATARSALS MX CAVUS FT,4,Ortopedia,Pie
28310,OSTEOTOMY; PROX PHALANX 1ST TOE (SEPART PROC),2.7,Ortopedia,Pie
28312,OSTEOTOMY; OTHER PHALANGES ANY TOE,2.2,Ortopedia,Pie
28313,RECON ANGULAR DEFORM TOE SOFT TISS PROC ONLY,2,Ortopedia,Pie
28315,SESAMOIDECTOMY FIRST TOE (SEPART PROC),2.7,Ortopedia,Pie
28320,REPR NONUNION/MALUNION; TARSAL BONES,3.9,Ortopedia,Pie
28322,REPR NON/MALUNION; METATARSAL W/WO BONE GFT,3.2,Ortopedia,Pie
28340,RECON TOE MACRODACTYLY; SOFT TISS RESECT,BR,Ortopedia,Pie
28341,RECON TOE MACRODACTYLY; REQUIRING BONE RESECT,BR,Ortopedia,Pie
28344,RECON TOE; POLYDACTYLY,BR,Ortopedia,Pie
28345,RECON TOE; SYNDACTYLY W/WO SKIN GFT EA WEB,BR,Ortopedia,Pie
28360,RECON CLEFT FT,BR,Ortopedia,Pie
28400,CLO TX CALCAN FX; WO MANIP,1,Ortopedia,Pie
28405,CLO TX CALCAN FX; W/MANIP,2,Ortopedia,Pie
28406,PERCUT SKELETAL FIXA CALCAN FX W/MANIP,2.9,Ortopedia,Pie
28415,OP TX CALCAN FX W/WO INT/EXT FIXA,6.7,Ortopedia,Pie
28420,OP TX CALCAN FX W/WO FIX; W/PRIM ILIAC/AUTOG GFT,7.3,Ortopedia,Pie
