codigo,cirugia,rvu,especialidad,grupo
10120,INCS & REMOV F B SUBQ TISS; SIMPL,0.4,Cirugía General,Drenajes / Incisiones
10121,INCS & REMOV F B SUBQ TISS; COMPLIC,1.2,Cirugía General,Drenajes / Incisiones
10140,I&D HEMATOMA/SEROMA/FLUID COLLEC,0.3,Cirugía General,Drenajes / Incisiones
10160,PUNCT ASPIRAT ABSCESS/HEMATOMA/BULLA/CYST,0.3,Cirugía General,Drenajes / Incisiones
10180,I&D COMPLX POSTOP WOUND INFEC,1.8,Cirugía General,Drenajes / Incisiones
11730,AVULSION NAIL PLATE PART/COMPLT SIMPL; SNGL,0.4,Cirugía General,Uñas / piel
11731,AVULSION PLATE PART/COMPLT SIMPL; 2ND NAIL PLATE,0.3,Cirugía General,Uñas / piel
11732,AVULSION PLATE PART/COMPLT SIMPL; EA ADD NAIL,0.2,Cirugía General,Uñas / piel
11740,EVACUATION SUBUNGUAL HEMATOMA,0.3,Cirugía General,Uñas / piel
11750,EXC NAIL/MATRIX PART/COMPLT PERM REMOV,1.4,Cirugía General,Uñas / piel
11752,EXC NAIL/MATRIX PART/COMPLT PERM; AMPUT DISTAL,1.9,Cirugía General,Uñas / piel
11760,REPR NAIL BED,1.5,Cirugía General,Uñas / piel
11762,RECON NAIL BED W/GFT,2.3,Cirugía General,Uñas / piel
11765,WEDGE EXC SKIN NAIL FOLD,1,Cirugía General,Uñas / piel
12001,SIMPL REPR SCLP/AX/GENIT/TRUNK/EXTREM; 2.5/LESS,0.4,Cirugía General,Reparaciones (suturas)
12002,SIMPL REPR SCLP/AX/GENIT/TRUNK/EXTREM; 2.6-7.5CM,0.5,Cirugía General,Reparaciones (suturas)
12004,SIMPL REPR SCLP/AX/GENIT/TRUNK/EXTREM; 7.6-12.5,0.8,Cirugía General,Reparaciones (suturas)
12005,SIMPL REPR SCLP/AX/GENIT/TRUNK/EXTREM; 12.6-20.0,1,Cirugía General,Reparaciones (suturas)
12006,SIMPL REPR SCLP/AX/GENIT/TRUNK/EXTREM; 20.1-30.0,1.4,Cirugía General,Reparaciones (suturas)
12007,SIMPL REPR SCLP/AX/GENIT/TRUNK/EXTREM; OVER 30.0,BR,Cirugía General,Reparaciones (suturas)
12011,SIMPL REPR FACE/EARS/NOSE/MUCOUS MEMB; 2.5/LESS,0.6,Cirugía General,Reparaciones (suturas)
12013,SIMPL REPR FACE/EARS/NOSE/MUCOUS MEMB; 2.6-5.0,0.8,Cirugía General,Reparaciones (suturas)
12014,SIMPL REPR FACE/EARS/NOSE/MUCOUS MEMB; 5.1-7.5,1.1,Cirugía General,Reparaciones (suturas)
12015,SIMPL REPR FACE/EARS/NOSE/MUCOUS MEMB; 7.6-12.5,1.4,Cirugía General,Reparaciones (suturas)
12016,SIMPL REPR FACE/EARS/NOSE/MUCOUS MEMB; 12.6-20.0,2.2,Cirugía General,Reparaciones (suturas)
12017,SIMPL REPR FACE/EARS/NOSE/MUCOUS MEMB; 20.1-30.0,3.4,Cirugía General,Reparaciones (suturas)
12018,SIMPL REPR FACE/EARS/NOSE/MUCOUS MEMB; OVER 30.0,BR,Cirugía General,Reparaciones (suturas)
12020,TX SUPERF WOUND DEHISCENCE; SIMPL CLO,1,Cirugía General,Reparaciones (suturas)
12021,TX SUPERF WOUND DEHISCENCE; W/PACKING,1.1,Cirugía General,Reparaciones (suturas)
12031,LAYER CLO SCLP/AX/TRUNK/EXTREM; 2.5 CM/LESS,0.6,Cirugía General,Reparaciones (suturas)
12032,LAYER CLO SCLP/AX/TRUNK/EXTREM; 2.6 TO 7.5 CM,0.8,Cirugía General,Reparaciones (suturas)
12034,LAYER CLO SCLP/AX/TRUNK/EXTREM; 7.6 TO 12.5 CM,1.1,Cirugía General,Reparaciones (suturas)
12035,LAYER CLO SCLP/AX/TRUNK/EXTREM; 12.6 TO 20.0 CM,1.4,Cirugía General,Reparaciones (suturas)
12036,LAYER CLO SCLP/AX/TRUNK/EXTREM; 20.1 TO 30.0 CM,1.8,Cirugía General,Reparaciones (suturas)
12037,LAYER CLO SCLP/AX/TRUNK/EXTREM; OVER 30.0 CM,2.2,Cirugía General,Reparaciones (suturas)
12041,LAYER CLO NECK/HANDS/FT/GENIT; 2.5 CM/LESS,0.7,Cirugía General,Reparaciones (suturas)
12042,LAYER CLO NECK/HANDS/FT/GENIT; 2.6 TO 7.5 CM,1,Cirugía General,Reparaciones (suturas)
12044,LAYER CLO NECK/HANDS/FT/GENIT; 7.6 TO 12.5 CM,1.3,Cirugía General,Reparaciones (suturas)
12045,LAYER CLO NECK/HANDS/FT/GENIT; 12.6 TO 20.0 CM,1.7,Cirugía General,Reparaciones (suturas)
12046,LAYER CLO NECK/HANDS/FT/GENIT; 20.1 TO 30.0 CM,2.3,Cirugía General,Reparaciones (suturas)
12047,LAYER CLO NECK/HANDS/FT/GENIT; OVER 30.0 CM,2.5,Cirugía General,Reparaciones (suturas)
12051,LAYER CLO FACE/EARS/NOSE/LIPS; 2.5 CM/LESS,0.8,Cirugía General,Reparaciones (suturas)
12052,LAYER CLO FACE/EARS/NOSE/LIPS; 2.6 TO 5.0 CM,1.1,Cirugía General,Reparaciones (suturas)
12053,LAYER CLO FACE/EARS/NOSE/LIPS; 5.1 TO 7.5 CM,1.4,Cirugía General,Reparaciones (suturas)
12054,LAYER CLO FACE/EARS/NOSE/LIPS; 7.6 TO 12.5 CM,2.2,Cirugía General,Reparaciones (suturas)
12055,LAYER CLO FACE/EARS/NOSE/LIPS; 12.6 TO 20.0 CM,3.3,Cirugía General,Reparaciones (suturas)
12056,LAYER CLO FACE/EARS/NOSE/LIPS; 20.1 TO 30.0 CM,3.4,Cirugía General,Reparaciones (suturas)
12057,LAYER CLO FACE/EARS/NOSE/LIPS; OVER 30.0 CM,BR,Cirugía General,Reparaciones (suturas)
13100,REPR COMPLX TRUNK; 1.1 CM TO 2.5 CM,0.8,Cirugía General,Reparaciones (suturas)
13101,REPR COMPLX TRUNK; 2.6 CM TO 7.5 CM,1.6,Cirugía General,Reparaciones (suturas)
13120,REPR COMPLX SCLP/ARMS/LEGS; 1.1 CM TO 2.5 CM,1.5,Cirugía General,Reparaciones (suturas)
13121,REPR COMPLX SCLP/ARMS/LEGS; 2.6 CM TO 7.5 CM,2.3,Cirugía General,Reparaciones (suturas)
13131,REPR COMPLX FOREHEAD/CHIN/AX/GENIT/FT; 1.1-2.5,1.6,Cirugía General,Reparaciones (suturas)
13132,REPR COMPLX FOREHEAD/CHIN/AX/GENIT/FT; 2.6-7.5,3.3,Cirugía General,Reparaciones (suturas)
13150,REPR COMPLX LIDS/NOSE/EARS/LIPS; 1.0 CM/LESS,1.3,Cirugía General,Reparaciones (suturas)
13151,REPR COMPLX LIDS/NOSE/EARS/LIPS; 1.1 TO 2.5 CM,2,Cirugía General,Reparaciones (suturas)
13152,REPR COMPLX LIDS/NOSE/EARS/LIPS; 2.6 TO 7.5 CM,4.2,Cirugía General,Reparaciones (suturas)
13160,SECNDRY CLO SURG WOUND/DEHISCENCE EXTEN/COMPLIC,2.9,Cirugía General,Reparaciones (suturas)
