codigo,cirugia,rvu,especialidad,grupo
50010,RENAL EXPLOR WO NECES OTHER SPECIFIC PROC,7.4,Urología,Riñón y vejiga
50020,DRAINAGE PERIRENAL/RENAL ABSCESS (SEPART PROC),6.6,Urología,Riñón y vejiga
50040,NEPHROSTOMY NEPHROTOMY W/DRAINAGE,8.8,Urología,Riñón y vejiga
50045,NEPHROTOMY W/EXPLOR,8.8,Urología,Riñón y vejiga
50060,NEPHROLITHOTOMY; REMOV CALCU,9.3,Urología,Riñón y vejiga
50065,NEPHROLITHOTOMY; SECNDRY SURG FOR CALCU,11.8,Urología,Riñón y vejiga
50070,NEPHROLITHOTOMY; COMPLIC BY CONGEN KIDNEY ABN,11.8,Urología,Riñón y vejiga
50075,NEPHROLITHOTOMY; REMOV LG STAGHORN CALCU,11.8,Urología,Riñón y vejiga
50080,PERCUT NEPHROSTOLITHOTOMY W/WO DILAT; UP TO 2 CM,9.5,Urología,Riñón y vejiga
50081,PERCUT NEPHROSTOLITHOTOMY W/WO DILAT; OVER 2 CM,10.9,Urología,Riñón y vejiga
50100,TRANSECT/REPOSIT ABERRANT RENAL VESS (SEP PRO),7.4,Urología,Riñón y vejiga
50120,PYELOTOMY; W/EXPLOR,8.8,Urología,Riñón y vejiga
50125,PYELOTOMY; W/DRAINAGE PYELOSTOMY,8.8,Urología,Riñón y vejiga
50130,PYELOTOMY; W/REMOV CALCU,8.8,Urología,Riñón y vejiga
50135,PYELOTOMY; COMPLIC,10.8,Urología,Riñón y vejiga
50200,RENAL BX; PERCUT BY TROCAR/NEEDLE,1.6,Urología,Riñón y vejiga
50205,RENAL BX; BY SURG EXPOSURE KIDNEY,4.7,Urología,Riñón y vejiga
50220,NEPHRECTOMY INCL PART URETERECTOMY W/RIB RESECT,9.5,Urología,Riñón y vejiga
50225,NEPHRECT W/PART URETERECT; PREV SURG SAME KIDNEY,12,Urología,Riñón y vejiga
50230,NEPHRECTOMY; RADICAL W/REGIONAL LYMPHADENECTOMY,15,Urología,Riñón y vejiga
50234,NEPHRECTOMY W/TOT URETERECTOMY; THRU SAME INCS,10.8,Urología,Riñón y vejiga
