codigo,cirugia,rvu,especialidad,grupo
49000,EXPLOR LAPAROTOMY-CELIOTOMY W/WO BX (SEP PRO),6.5,Digestivo,Peritoneo y hernias
49002,REOPENING RECENT LAPAROTOMY,6.5,Digestivo,Peritoneo y hernias
49010,EXPLOR RETROPERITONEAL AREA W/WO BX (SEP PRO),6.5,Digestivo,Peritoneo y hernias
49020,DRAINAGE PERITONEAL ABSCESS TRANSABDOMINAL,5.8,Digestivo,Peritoneo y hernias
49040,DRAINAGE SUBDIAPHRAGMATIC/SUBPHRENIC ABSCESS,7.8,Digestivo,Peritoneo y hernias
49060,DRAINAGE RETROPERITONEAL ABSCESS,6.4,Digestivo,Peritoneo y hernias
49080,PERITONEOCENTESIS-ABD PARACENTESIS; INIT,0.7,Digestivo,Peritoneo y hernias
49081,PERITONEOCENTESIS-ABD PARACENTESIS; SUBSQT,0.5,Digestivo,Peritoneo y hernias
49085,REMOV PERITONEAL F B FROM PERITONEAL CAVITY,5.2,Digestivo,Peritoneo y hernias
49180,BX ABD/RETROPERITONEAL MASS PERCUT NEEDLE,1.5,Digestivo,Peritoneo y hernias
49200,EXC/DESTRCT INTRA-ABD/RETROPERITONEAL TUMORS,7.8,Digestivo,Peritoneo y hernias
49201,EXC/DESTRCT INTRA-ABD TUMORS/CYSTS; EXTEN,9.8,Digestivo,Peritoneo y hernias
49215,EXC PRESACRAL/SACROCOCCYGEAL TUMOR,BR,Digestivo,Peritoneo y hernias
49220,STAGING CELIOTOMY-HODGKIN'S DISEASE/LYMPHOMA,9.8,Digestivo,Peritoneo y hernias
49250,UMBILECTOMY/OMPHALECTOMY-EXC UMBILICUS (SEP PRO),3.4,Digestivo,Peritoneo y hernias
49255,OMENTECTOMY/EPIPLOECTOMY-RESEC OMENTUM (SEP PRO),4.9,Digestivo,Peritoneo y hernias
49300,PERITONEOSCOPY; WO BX,3.3,Digestivo,Peritoneo y hernias
49301,PERITONEOSCOPY; W/BX,4.2,Digestivo,Peritoneo y hernias
49302,PERITONEOSCOPY W/TRANSHEP CHOLANGIOGRAPHY; WO BX,4.6,Digestivo,Peritoneo y hernias
49303,PERITONEOSCOPY W/TRANSHEP CHOLANGIOGRAPHY; W/BX,5.4,Digestivo,Peritoneo y hernias
49310,LAP SURG; CHOLEY,7.4,Digestivo,Peritoneo y hernias
49311,LAP SURG; CHOLEY W/CHOLANGIOGRAPHY,8.2,Digestivo,Peritoneo y hernias
49315,LAP SURG; APPY,4.5,Digestivo,Peritoneo y hernias
49400,PNEUMOPERITONEUM (SEPART PROC); INIT,0.7,Digestivo,Peritoneo y hernias
49401,PNEUMOPERITONEUM (SEPART PROC); SUBSQT,0.4,Digestivo,Peritoneo y hernias
49420,INSRT INTRAPERITONEAL CANNULA-DRAIN; TEMPORARY,1.7,Digestivo,Peritoneo y hernias
49421,INSRT INTRAPERITONEAL CANNULA-DRAIN; PERM,3.7,Digestivo,Peritoneo y hernias
49425,PERITONEAL-VENOUS SHUNT,6.2,Digestivo,Peritoneo y hernias
49426,REVIS PERITONEAL-VENOUS SHUNT,6.2,Digestivo,Peritoneo y hernias
49427,INJ PROC-EVAL PREV PLACED PERITON-VENOUS SHUNT,0.6,Digestivo,Peritoneo y hernias
49500,REPR ING HERNIA < AGE 5 YR W/WO HYDROCELECTOMY,4.4,Digestivo,Peritoneo y hernias
49505,REPR ING HERNIA AGE 5/OVER,5.6,Digestivo,Peritoneo y hernias
49510,REPR ING HERNIA 5 YR/OVER; W/ORCHIECTOMY,6.1,Digestivo,Peritoneo y hernias
49515,REPR ING HERNIA 5 YR/OVER; W/EXC HYDROCELE,5.2,Digestivo,Peritoneo y hernias
49520,REPR ING HERNIA ANY AGE; RECURRENT,5.8,Digestivo,Peritoneo y hernias
49525,REPR ING HERNIA ANY AGE; SLIDING,5.5,Digestivo,Peritoneo y hernias
49530,REPR ING HERNIA ANY AGE; INCARCERATED,5.5,Digestivo,Peritoneo y hernias
49535,REPR ING HERNIA ANY AGE; STRANGULATED,5.5,Digestivo,Peritoneo y hernias
49540,REPR LUMBAR HERNIA,5.5,Digestivo,Peritoneo y hernias
49550,REPR FEMORAL HERNIA GROIN INCS,4.3,Digestivo,Peritoneo y hernias
49552,REPR FEMORAL HERNIA HENRY APPROACH,5.5,Digestivo,Peritoneo y hernias
49555,REPR FEMORAL HERNIA RECURRENT ANY APPROACH,6.5,Digestivo,Peritoneo y hernias
49560,REPR VENTRAL HERNIA (SEPART PROC),5.9,Digestivo,Peritoneo y hernias
49565,REPR VENTRAL HERNIA (SEPART PROC); RECURRENT,7.1,Digestivo,Peritoneo y hernias
49570,REPR EPIGASTRIC HERNIA (SEPART PROC); SIMPL,2.9,Digestivo,Peritoneo y hernias
49575,REPR EPIGASTRIC HERNIA (SEPART PROC); COMPLX,4.9,Digestivo,Peritoneo y hernias
49580,REPR UMBILICAL HERNIA; UNDER AGE 5 YR,3.6,Digestivo,Peritoneo y hernias
49581,REPR UMBILICAL HERNIA; AGE 5/OVER,4.6,Digestivo,Peritoneo y hernias
49590,REPR SPIGELIAN HERNIA,4.9,Digestivo,Peritoneo y hernias
49600,REPR OMPHALOCELE; SM W/PRIM CLO,6.3,Digestivo,Peritoneo y hernias
49605,REPR OMPHALOCELE; LG/GASTROSCHISIS W/WO PROSTH,9.7,Digestivo,Peritoneo y hernias
49606,REPR OMPHALOCELE; W/STAGED CLO-PROSTH UNDER ANES,BR,Digestivo,Peritoneo y hernias
49610,REPR OMPHALOCELE; FIRST STAGE,5.4,Digestivo,Peritoneo y hernias
49611,REPR OMPHALOCELE; SECOND STAGE,5.4,Digestivo,Peritoneo y hernias
49900,SUTURE SECNDRY ABD WALL EVISCERATION/DEHISCENCE,3.5,Digestivo,Peritoneo y hernias
49905,OMENTAL FLAP,3.9,Digestivo,Peritoneo y hernias
49999,UNLISTED PROC ABD PERITONEUM & OMENTUM,BR,Digestivo,Peritoneo y hernias
