codigo,cirugia,rvu,especialidad,grupo
48000,DRAINAGE ABD PANCREATITIS,6.4,Endocrino,Tiroides / glándulas
48020,REMOV PANCREATIC CALCU,8.8,Endocrino,Tiroides / glándulas
48100,BX PANCREAS (SEPART PROC),6.9,Endocrino,Tiroides / glándulas
48102,BX PANCREAS PERCUT NEEDLE,1.5,Endocrino,Tiroides / glándulas
48120,EXC LES PANCREAS,8.8,Endocrino,Tiroides / glándulas
48140,PANCREATECTOMY DISTAL SUBTL W/WO SPLENECTOMY,10.3,Endocrino,Tiroides / glándulas
48145,PANCREATECTOMY DISTAL SUBTL; W/PANCREATICOJEJUNO,11.8,Endocrino,Tiroides / glándulas
48148,EXC AMPULLA VATER SIMPL,11.8,Endocrino,Tiroides / glándulas
48150,PANCREATECTOMY PROX SUBTL W/PANCREATICODUODENECT,19.6,Endocrino,Tiroides / glándulas
48151,PANCREATECTOMY NEAR-TOT W/PRESERV DUODENUM,13.7,Endocrino,Tiroides / glándulas
48155,PANCREATECTOMY TOT,16.7,Endocrino,Tiroides / glándulas
48160,PANCREATECTOMY TOT; W/TRANSPL,BR,Endocrino,Tiroides / glándulas
48180,PANCREATICOJEJUNOS SIDE-SIDE ANASTOM (SEP PRO),15.5,Endocrino,Tiroides / glándulas
48500,MARSUPIALIZATION CYST PANCREAS,9.4,Endocrino,Tiroides / glándulas
48510,EXT DRAINAGE PSEUDOCYST PANCREAS,9.8,Endocrino,Tiroides / glándulas
48520,INT ANASTOM PANCREATIC CYST-GI TRACT; DIRECT,8.3,Endocrino,Tiroides / glándulas
48540,INT ANASTOM PANCREATIC CYST-GI TRACT; ROUX-EN-Y,9.8,Endocrino,Tiroides / glándulas
48999,UNLISTED PROC PANCREAS,BR,Endocrino,Tiroides / glándulas
60000,I&D THYROGLOSSAL CYST INFEC,0.6,Endocrino,Tiroides / glándulas
60100,BX THYROID PERCUT NEEDLE,0.8,Endocrino,Tiroides / glándulas
60200,EXC CYST/ADENOMA THYROID/TRANSECTION ISTHMUS,5.4,Endocrino,Tiroides / glándulas
60220,TOT THYROID LOBEC UNILAT,7.5,Endocrino,Tiroides / glándulas
60225,TOT THYROID LOBEC UNILAT; W/CONTRALAT SUBTL LOBE,9.2,Endocrino,Tiroides / glándulas
60240,THYROIDECTOMY TOT/COMPLT,9.7,Endocrino,Tiroides / glándulas
60245,THYROIDECTOMY SUBTL/PART,7.4,Endocrino,Tiroides / glándulas
60246,THYROIDECTOMY; W/REMOV SUBSTERNAL THYROID GLAND,9.7,Endocrino,Tiroides / glándulas
60252,THYROIDECTOMY TOT/SUBTL-MALIG; W/LTD NECK DISSEC,15,Endocrino,Tiroides / glándulas
60254,THYROIDECTOMY TOT/SUBTL-MALIG; W/RAD NECK DISSEC,18.5,Endocrino,Tiroides / glándulas
60260,THYROIDECTOMY SECNDRY,8.1,Endocrino,Tiroides / glándulas
60270,THYROIDECTOMY INCL SUBSTERNL GLAND STERNL SPLIT,10.3,Endocrino,Tiroides / glándulas
60280,EXC THYROGLOSSAL DUCT CYST/SINUS,5.9,Endocrino,Tiroides / glándulas
60281,EXC THYROGLOSSAL DUCT CYST/SINUS; RECURRENT,6.2,Endocrino,Tiroides / glándulas
60500,PARATHYROIDECTOMY/EXPLOR PARATHYROID,9,Endocrino,Tiroides / glándulas
60502,PARATHYROIDECTOMY/EXPLOR PARATHYROID; RE-EXPLOR,9.9,Endocrino,Tiroides / glándulas
60505,PARATHYROIDECTOMY; W/MEDIASTINAL EXPLOR,13,Endocrino,Tiroides / glándulas
60520,THYMECTOMY PART/TOT (SEPART PROC),9.6,Endocrino,Tiroides / glándulas
60540,ADRENALECTOMY/EXPLOR ADRENAL GLAND (SEPART PROC),9.6,Endocrino,Tiroides / glándulas
60545,ADRENALECTOMY (SEP PRO); W/EXC RETROPERIT TUMOR,12.3,Endocrino,Tiroides / glándulas
60600,EXC CAROTID BODY TUMOR; WO EXC CAROTID ART,9.8,Endocrino,Tiroides / glándulas
60605,EXC CAROTID BODY TUMOR; W/EXC CAROTID ART,12.3,Endocrino,Tiroides / glándulas
60699,UNLISTED PROC ENDOCRINE SYST,BR,Endocrino,Tiroides / glándulas

