codigo,cirugia,rvu,especialidad,grupo
21010,ARTHROTOMY TEMPOROMANDIBULAR JT,10.3,Maxilofacial,Maxilofacial
21015,RADICAL RESECT TUMOR SOFT TISS FACE/SCLP,BR,Maxilofacial,Maxilofacial
21025,EXC BONE; MANDIB,8.8,Maxilofacial,Maxilofacial
21026,EXC BONE; FACIAL BONE,8.8,Maxilofacial,Maxilofacial
21029,REMOV BY CONTOURING BEN TUMOR FACIAL BONE,8.2,Maxilofacial,Maxilofacial
21030,EXC BEN TUMOR/CYST FACE BONE OTHER THAN MANDIB,5.9,Maxilofacial,Maxilofacial
21031,EXC TORUS MANDIBULARIS,1.7,Maxilofacial,Maxilofacial
21032,EXC MAXIL TORUS PALATINUS,2.5,Maxilofacial,Maxilofacial
21034,EXC MALIG TUMOR FACIAL BONE OTHER THAN MANDIB,8.1,Maxilofacial,Maxilofacial
21040,EXC BEN CYST/TUMOR MANDIB; SIMPL,2.5,Maxilofacial,Maxilofacial
21041,EXC BEN CYST/TUMOR MANDIB; COMPLX,4.9,Maxilofacial,Maxilofacial
21044,EXC MALIG TUMOR MANDIB,8.1,Maxilofacial,Maxilofacial
21045,EXC MALIG TUMOR MANDIB; RADICAL RESECT,14.7,Maxilofacial,Maxilofacial
21050,CONDYLECTOMY TEMPOROMANDIBULAR JT (SEPART PROC),11.8,Maxilofacial,Maxilofacial
21060,MENISCECTOMY PART/COMPLT TMJ (SEPART PROC),14.6,Maxilofacial,Maxilofacial
21070,CORONOIDECTOMY (SEPART PROC),9.7,Maxilofacial,Maxilofacial
21079,IMPRESS & CUST PREP; INTERIM OBTURATOR PROSTH,3.1,Maxilofacial,Maxilofacial
21080,IMPRESS & CUST PREP; DEFINITIVE OBTURATOR PROSTH,5.7,Maxilofacial,Maxilofacial
21081,IMPRESS & CUST PREP; MANDIB RESECT PROSTH,5.6,Maxilofacial,Maxilofacial
21082,IMPRESS & CUST PREP; PALATAL AUGMEN PROSTH,3.6,Maxilofacial,Maxilofacial
21083,IMPRESS & CUST PREP; PALATAL LIFT PROSTH,4.7,Maxilofacial,Maxilofacial
21084,IMPRESS & CUST PREP; SPEECH AID PROSTH,5.7,Maxilofacial,Maxilofacial
21085,IMPRESS & CUST PREP; ORAL SURG SPLINT,2.1,Maxilofacial,Maxilofacial
21086,IMPRESS & CUST PREP; AURICULAR PROSTH,5.8,Maxilofacial,Maxilofacial
21087,IMPRESS & CUST PREP; NASAL PROSTH,5.8,Maxilofacial,Maxilofacial
21088,IMPRESS & CUST PREP; FACIAL PROSTH,6,Maxilofacial,Maxilofacial
21089,UNLISTED MAXILLOFACIAL PROSTH PROC,BR,Maxilofacial,Maxilofacial
21100,APPLIC HALO-MAXILLOFAC INCL REMOV (SEPART PROC),1.3,Maxilofacial,Maxilofacial
21110,APPLIC INTERDENTAL DEVICE-NOT FX DISLOC W/REMOV,2.9,Maxilofacial,Maxilofacial
21116,INJ PROC TEMPOROMANDIBULAR JT ARTHROGRAPHY,0.3,Maxilofacial,Maxilofacial
21120,GENIOPLASTY; AUGMEN,6.5,Maxilofacial,Maxilofacial
21121,GENIOPLASTY; SLIDING OSTEOTOMY SNGL PIECE,9.7,Maxilofacial,Maxilofacial
21122,GENIOPLASTY; SLIDING OSTEOTOMIES 2/MORE,12.7,Maxilofacial,Maxilofacial
21123,GENIOPLASTY; SLIDING AUGMEN W/INTERPOSIT GFT,14.8,Maxilofacial,Maxilofacial
21125,AUGMEN MANDIB BODY/ANGLE; PROSTH MAT,7.6,Maxilofacial,Maxilofacial
21127,AUGMEN MANDIB BODY/ANGLE; W/BONE GFT ONLAY,10.7,Maxilofacial,Maxilofacial
21137,REDUCTION FOREHEAD; CONTOURING ONLY,11.2,Maxilofacial,Maxilofacial
21138,REDUCT FOREHEAD; CONTOUR/APPLIC PROSTH/BONE GFT,14.8,Maxilofacial,Maxilofacial
21139,REDUCT FOREHEAD; SETBACK ANT FRONTAL SINUS WALL,15.9,Maxilofacial,Maxilofacial
21144,RECON MIDFACE LEFORT I; INTRUSION SNGL PIECE,16.7,Maxilofacial,Maxilofacial
21145,RECON MIDFACE LEFORT I; 1 PIECE REQ BONE GFT,19.8,Maxilofacial,Maxilofacial
21146,RECON MIDFACE LEFORT I; 2 PIECES REQ BONE GFT,22.3,Maxilofacial,Maxilofacial
21147,RECON MIDFACE LEFORT I; 3/MORE PIECES REQ GFT,24.4,Maxilofacial,Maxilofacial
21150,RECON MIDFACE LEFORT II; ANT INTRUSION,BR,Maxilofacial,Maxilofacial
21151,RECON MIDFACE LEFORT II; ANY DIRECT REQ BONE GFT,BR,Maxilofacial,Maxilofacial
21154,RECON MIDFACE LEFORT III REQ GFT; WO LEFORT I,BR,Maxilofacial,Maxilofacial
21155,RECON MIDFACE LEFORT III REQ GFT; W/LEFORT I,BR,Maxilofacial,Maxilofacial
21159,RECON MIDFACE FOREHEAD ADVANC W/GFT; WO LEFORT I,BR,Maxilofacial,Maxilofacial
21160,RECON MIDFACE FOREHEAD ADVANC W/GFT; W/LEFORT I,BR,Maxilofacial,Maxilofacial
21172,RECON SUP-LAT ORBITAL RIM/LO FOREHEAD W/WO GFTS,18,Maxilofacial,Maxilofacial
21175,RECON BIFRONTAL ORBIT RIMS/LO FOREHEAD W/WO GFTS,BR,Maxilofacial,Maxilofacial
21179,RECON MAJORITY FOREHEAD/SUPRAORBITAL RIMS; W/GFT,BR,Maxilofacial,Maxilofacial
21180,RECON MAJ FOREHEAD/SUPRAORBIT RIMS; W/AUTOGFT,BR,Maxilofacial,Maxilofacial
21181,RECON CONTOUR BEN TUMOR CRANIAL BONE EXTRACRANI,8.3,Maxilofacial,Maxilofacial
21182,RECON ORBIT-EXC BONE TUM; BONE GFT < 40 CM2,BR,Maxilofacial,Maxilofacial
21183,RECON ORBIT-EXC TUM; BONE GFT > 40 BUT < 80 CM2,BR,Maxilofacial,Maxilofacial
21184,RECON ORBIT-EXC BONE TUM; BONE GFT > 80 CM2,BR,Maxilofacial,Maxilofacial
21188,RECON MIDFACE OSTEOTOMIES & BONE GFT,BR,Maxilofacial,Maxilofacial
21193,RECON MANDIB RAMUS OSTEOTOMY; WO BONE GFT,9.4,Maxilofacial,Maxilofacial
21194,RECON MANDIB RAMUS OSTEOTOMY; W/BONE GFT,11.9,Maxilofacial,Maxilofacial
21195,RECON MANDIB RAMUS SAGITTAL SPLIT; WO INT FIXA,10.5,Maxilofacial,Maxilofacial
21196,RECON MANDIB RAMUS SAGITTAL SPLIT; W/INT FIXA,11.9,Maxilofacial,Maxilofacial
21198,OSTEOTOMY MANDIB SEGMT,9.7,Maxilofacial,Maxilofacial
21206,OSTEOTOMY MAXIL SEGMT,18.9,Maxilofacial,Maxilofacial
21208,OSTEOPLASTY FACIAL BONES; AUGMEN,7.8,Maxilofacial,Maxilofacial
21209,OSTEOPLASTY FACIAL BONES; REDUCTION,6.1,Maxilofacial,Maxilofacial
21210,GFT BONE; NASAL/MAXIL/MALAR AREAS,12.3,Maxilofacial,Maxilofacial
21215,GFT BONE; MANDIB,12.7,Maxilofacial,Maxilofacial
21230,GFT; RIB CARTILAGE AUTOGEN-FACE/CHIN/NOSE/EAR,10.5,Maxilofacial,Maxilofacial
21235,GFT; EAR CARTILAGE AUTOGEN NOSE/EAR,6.4,Maxilofacial,Maxilofacial
21240,ARTHROPLASTY TEMPOROMANDIBULAR JT W/WO AUTOGFT,17,Maxilofacial,Maxilofacial
21242,ARTHROPLASTY TEMPOROMANDIBULAR JT W/ALLOGFT,15.3,Maxilofacial,Maxilofacial
21243,ARTHROPLASTY TMJ W/PROSTH JT REPLAC,18.9,Maxilofacial,Maxilofacial
21244,RECON MANDIB EXTRAORAL W/TRANSOSTEAL BONE PLATE,17.8,Maxilofacial,Maxilofacial
21245,RECON MANDIB/MAXIL SUBPERIOSTEAL IMPLNT; PART,21.2,Maxilofacial,Maxilofacial
21246,RECON MANDIB/MAXIL SUBPERIOSTEAL IMPLNT; COMPL,22.5,Maxilofacial,Maxilofacial
21247,RECON MANDIB CONDYLE W/BONE & CARTILAGE AUTOGFT,15.9,Maxilofacial,Maxilofacial
21248,RECON MANDIB/MAXIL ENDOSTEAL IMPLNT; PART,17.4,Maxilofacial,Maxilofacial
21249,RECON MANDIB/MAXIL ENDOSTEAL IMPLNT; COMPLT,25.5,Maxilofacial,Maxilofacial
21255,RECON ZYGOMATIC ARCH/GLENOID FOSSA W/BONE-CARTIL,16.2,Maxilofacial,Maxilofacial
21256,RECON ORBIT W/OSTEOTOMIES & W/BONE GFT,28.7,Maxilofacial,Maxilofacial
21260,PERIORBIT OSTEOTOM-HYPERTELORISM W/GFT; EXTRACRA,20.6,Maxilofacial,Maxilofacial
21261,PERIORBIT OSTEOTOMIES W/BONE GFT; INTRA-EXTRACRA,24.5,Maxilofacial,Maxilofacial
21263,PERIORBIT OSTEOTOMIES W/BONE GFT; W/FORHD ADVANC,39.2,Maxilofacial,Maxilofacial
21267,ORBIT REPOSIT OSTEOT-UNILAT W/GFTS; EXTRACRANIAL,39.2,Maxilofacial,Maxilofacial
21268,ORBIT REPOSIT-UNILAT W/GFTS; INTRA-EXTRACRANIAL,45.6,Maxilofacial,Maxilofacial
21270,MALAR AUGMEN PROSTH MAT,8.8,Maxilofacial,Maxilofacial
21275,SECNDRY REVIS ORBITOCRANIOFACIAL RECON,27,Maxilofacial,Maxilofacial
21280,MEDIAL CANTHOPEXY (SEPART PROC),5.4,Maxilofacial,Maxilofacial
21282,LAT CANTHOPEXY,5.4,Maxilofacial,Maxilofacial
21295,REDUCT MASSETER MUSCL/BONE; EXTRAORAL,11.9,Maxilofacial,Maxilofacial
21296,REDUCT MASSETER MUSCL/BONE; INTRAORAL,9.7,Maxilofacial,Maxilofacial
21299,UNLISTED CRANIOFACIAL & MAXILLOFACIAL PROC,BR,Maxilofacial,Maxilofacial
21300,CLO TX SKULL FX WO OR,1.6,Maxilofacial,Maxilofacial
21310,CLO TX NASAL BONE FX WO MANIP,1,Maxilofacial,Maxilofacial
21315,CLO TX NASAL BONE FX; WO STABILIZATION,0.8,Maxilofacial,Maxilofacial
21320,CLO TX NASAL BONE FX; W/STABILIZATION,2.6,Maxilofacial,Maxilofacial
21325,OP TX NASAL FX; UNCOMP,2.7,Maxilofacial,Maxilofacial
21330,OP TX NASAL FX; COMPLIC-W/INT-EXT SKELETAL FIXA,6.3,Maxilofacial,Maxilofacial
21335,OP TX NASAL FX; W/CONCOMITANT OP TX FX SEPTUM,11.3,Maxilofacial,Maxilofacial
21336,OP TX NASAL SEPTAL FX W/WO STABILIZATION,4.3,Maxilofacial,Maxilofacial
21337,CLO TX NASAL SEPTAL FX W/WO STABILIZATION,1.6,Maxilofacial,Maxilofacial
21338,OP TX NASOETHMOID FX; WO EXT FIXA,4.9,Maxilofacial,Maxilofacial
21339,OP TX NASOETHMOID FX; W/EXT FIXA,5.5,Maxilofacial,Maxilofacial
21340,PERCUT TX NASOETHMOID FX W/FIXA W/REPR NASOLACRL,8.1,Maxilofacial,Maxilofacial
21343,OP TX DEPRESSED FRONTAL SINUS FX,8,Maxilofacial,Maxilofacial
21344,OP TX COMPLIC FRONTAL SINUS FX VIA CORONAL,14.4,Maxilofacial,Maxilofacial
21345,CLO TX NASOMAXIL FX W/INTERDENTAL FIXA/SPLINT,9.2,Maxilofacial,Maxilofacial
21346,OP TX NASOMAXIL FX; W/WIRING &/OR LOCAL FIXA,10.3,Maxilofacial,Maxilofacial
21347,OP TX NASOMAXIL FX; REQ MX OPEN APPROACHES,14,Maxilofacial,Maxilofacial
21348,OP TX NASOMAXILLARY COMPLX FX; W/BONE GFT,14.1,Maxilofacial,Maxilofacial
21355,PERCUT TX FX MALAR AREA INCL ZYGOMATIC W/MANIP,2.7,Maxilofacial,Maxilofacial
21356,OP TX DEPRESSED ZYGOMATIC ARCH FX,4.7,Maxilofacial,Maxilofacial
21360,OP TX DEPRESS MALAR FX INCL ZYGOMATIC ARCH,6.5,Maxilofacial,Maxilofacial
21365,OP TX FX MALAR AREA; W/INT FIX & MX SURG APPROAC,8.7,Maxilofacial,Maxilofacial
21366,OP TX COMPLIC FX MALAR AREA INCL ZYGOMATIC ARCH,13.2,Maxilofacial,Maxilofacial
21385,"OP TX ORBITAL ""BLOWOUT"" FX; TRANSANTRAL APPROACH",8,Maxilofacial,Maxilofacial
21386,"OP TX ORBITAL ""BLOWOUT"" FX; PERIORBITAL APPROACH",9.7,Maxilofacial,Maxilofacial
21387,"OP TX ORBITAL FLOOR ""BLOWOUT"" FX; COMBO APPROACH",11.9,Maxilofacial,Maxilofacial
21390,"OP TX ORBITAL ""BLOWOUT"" FX; PERIORBIT W/IMPLNT",9.3,Maxilofacial,Maxilofacial
21395,"OP TX ORBITAL ""BLOWOUT"" FX; PERIORBIT W/BONE GFT",12,Maxilofacial,Maxilofacial
21400,"CLO TX FX ORBITAL EX ""BLOWOUT""; WO MANIP",1.4,Maxilofacial,Maxilofacial
21401,"CLO TX FX ORBITAL EX ""BLOWOUT""; W/MANIP",2.1,Maxilofacial,Maxilofacial
21406,"OP TX FX ORBITAL EX ""BLOWOUT""; WO IMPLNT",6.9,Maxilofacial,Maxilofacial
21407,"OP TX FX ORBITAL EX ""BLOWOUT"" W/IMPLNT",8.6,Maxilofacial,Maxilofacial
21408,"OP TX FX ORBITAL EX ""BLOWOUT""; W/BONE GFT",9.8,Maxilofacial,Maxilofacial
21421,CLO TX PALATAL/MAXIL FX W/INTERDENTAL WIRE FIXA,5.3,Maxilofacial,Maxilofacial
21422,OP TX PALATAL/MAXIL FX,6,Maxilofacial,Maxilofacial
21423,OP TX PALATAL/MAXIL FX; COMPLIC-MX APPROACHES,9,Maxilofacial,Maxilofacial
21431,CLO TX CRANIOFAC SEPART USING INTERDENT WIRE FIX,6.5,Maxilofacial,Maxilofacial
21432,OP TX CRANIOFAC SEPART; W/WIRE &/OR INT FIXA,9.2,Maxilofacial,Maxilofacial
21433,OP TX CRANIOFAC SEPART; COMPLIC-MX SURG APPROACH,13.5,Maxilofacial,Maxilofacial
21435,OP TX CRANIOFAC SEPART; COMPLIC W/INT-EXT FIXA,16.8,Maxilofacial,Maxilofacial
21436,OP TX CRANIOFAC SEPART; COMPLIC W/FIXA W/GFT,19.6,Maxilofacial,Maxilofacial
21440,CLO TX MANDIB/MAXIL ALVEOLAR RIDGE FX (SEP PRO),3.9,Maxilofacial,Maxilofacial
21445,OP TX MANDIB/MAXIL ALVEOLAR RIDGE FX (SEP PRO),5.1,Maxilofacial,Maxilofacial
21450,CLO TX MANDIB FX; WO MANIP,6.5,Maxilofacial,Maxilofacial
21451,CLO TX MANDIB FX; W/MANIP,7.6,Maxilofacial,Maxilofacial
21452,PERCUT TX MANDIB FX W/EXT FIXA,7.6,Maxilofacial,Maxilofacial
21453,CLO TX MANDIB FX W/INTERDENTAL FIXA,7.6,Maxilofacial,Maxilofacial
21454,OP TX MANDIB FX W/EXT FIXA,8.1,Maxilofacial,Maxilofacial
21461,OP TX MANDIB FX; WO INTERDENTAL FIXA,9.7,Maxilofacial,Maxilofacial
21462,OP TX MANDIB FX; W/INTERDENTAL FIXA,11,Maxilofacial,Maxilofacial
21465,OP TX MANDIB CONDYLAR FX,12.9,Maxilofacial,Maxilofacial
21470,OP TX MANDIB FX-MX APPROACH W/INT FX/SPLINTS,14.6,Maxilofacial,Maxilofacial
21480,CLO TX TEMPOROMANDIBULAR DISLOC; INIT/SUBSQT,1,Maxilofacial,Maxilofacial
21485,CLO TX TM DISLOC; COMPLIC INIT/SUBSQT,1.7,Maxilofacial,Maxilofacial
21490,OP TX TEMPOROMANDIBULAR DISLOC,8.6,Maxilofacial,Maxilofacial
21493,CLO TX HYOID FX; WO MANIP,0.6,Maxilofacial,Maxilofacial
21494,CLO TX HYOID FX; W/MANIP,2,Maxilofacial,Maxilofacial
21495,OP TX HYOID FX,6.6,Maxilofacial,Maxilofacial
21497,INTERDENTAL WIRING-CONDITION OTHER THAN FX,4.9,Maxilofacial,Maxilofacial
21499,UNLISTED MS PROC HEAD,BR,Maxilofacial,Maxilofacial
