codigo,cirugia,rvu,especialidad,grupo
26990,I&D PELVIS/HIP JT AREA; DEEP ABSCESS/HEMATOMA,2,Ortopedia,Cadera
26991,I&D PELVIS/HIP JT AREA; INFEC BURSA,2.9,Ortopedia,Cadera
26992,INCS DEEP W/OP BONE CORTEX PELVIS &/OR HIP,3.4,Ortopedia,Cadera
27000,TENOTOMY ADDUCTOR HIP SUBQ CLO (SEPART PROC),1.7,Ortopedia,Cadera
27001,TENOTOMY ADDUCTOR HIP SUBQ OP,2.9,Ortopedia,Cadera
27003,TENOTOMY ADDUCTOR SUBQ OP W/OBTURATOR NEURECTOMY,3.4,Ortopedia,Cadera
27005,TENOTOMY ILIOPSOAS OP (SEPART PROC),4,Ortopedia,Cadera
27006,TENOTOMY ABDUCTORS HIP OP (SEPART PROC),4,Ortopedia,Cadera
27025,FASCIOTOMY HIP/THIGH ANY TYPE,5.9,Ortopedia,Cadera
27030,ARTHROTOMY HIP INFEC W/DRAINAGE,6.9,Ortopedia,Cadera
27033,ARTHROTOMY HIP EXPLOR/REMOV LOOSE/F B,6.9,Ortopedia,Cadera
27035,HIP JT DENERVATION FEMORAL/OBTURATOR NERVES,8.4,Ortopedia,Cadera
27040,BX SOFT TISS PELVIS & HIP AREA; SUPERF,0.6,Ortopedia,Cadera
27041,BX SOFT TISS PELVIS & HIP AREA; DEEP,2,Ortopedia,Cadera
27047,EXC TUMOR PELVIS & HIP AREA; SUBQ,1.8,Ortopedia,Cadera
27048,EXC TUMOR PELVIS & HIP AREA; DEEP/SUBFASCIAL/IM,5.4,Ortopedia,Cadera
27049,RADICAL RESECT TUMOR SOFT TISS PELVIS & HIP AREA,15.2,Ortopedia,Cadera
27050,ARTHROTOMY BX; SACROILIAC JT,4,Ortopedia,Cadera
27052,ARTHROTOMY BX; HIP JT,9.3,Ortopedia,Cadera
27054,ARTHROTOMY SYNOVECTOMY HIP JT,13.5,Ortopedia,Cadera
27060,EXC; ISCHIAL BURSA,2.9,Ortopedia,Cadera
27062,EXC; TROCH BURSA/CALCIFICATION,3,Ortopedia,Cadera
27065,EXC BONE CYST/BEN TUMOR; SUPERF W/WO AUTOGFT,3.3,Ortopedia,Cadera
27066,EXC BONE CYST/BEN TUMOR; DEEP W/WO AUTOGFT,6.3,Ortopedia,Cadera
27067,EXC BONE CYST/TUMOR; W/AUTOGFT REQ SEPART INCS,BR,Ortopedia,Cadera
27070,PART EXC; SUPERF,3.4,Ortopedia,Cadera
27071,PART EXC; DEEP,6.4,Ortopedia,Cadera
27075,RAD RESECT TUMOR/INFEC; WING ILIUM 1 RAMUS/PUBIS,11.8,Ortopedia,Cadera
27076,RAD RESECT TUMOR; ILIUM W/ACETABULUM BOTH RAMI,14.7,Ortopedia,Cadera
27077,RADICAL RESECT TUMOR/INFEC; INNOMINATE BONE TOT,19.6,Ortopedia,Cadera
27078,RAD RESECT TUMOR/INFEC; ISCHIAL TUBEROSITY,5.9,Ortopedia,Cadera
27079,RAD RESECT TUMOR; ISCHIAL TUBEROSITY W/SKIN FLAP,8.8,Ortopedia,Cadera
27080,COCCYGECTOMY PRIM,3.9,Ortopedia,Cadera
27086,REMOV F B PELVIS/HIP; SUBQ TISS,0.6,Ortopedia,Cadera
27087,REMOV F B PELVIS/HIP; DEEP,2.9,Ortopedia,Cadera
27090,REMOV HIP PROSTH; (SEPART PROC),5.8,Ortopedia,Cadera
27091,"REMOV HIP PROSTH; COMPLIC INCL ""TOT HIP""",15.2,Ortopedia,Cadera
27093,INJ PROC HIP ARTHROGRAPHY; WO ANES,0.8,Ortopedia,Cadera
27095,INJ PROC HIP ARTHROGRAPHY; W/ANES,1.5,Ortopedia,Cadera
27097,HAMSTRING RECESSION PROX,6.9,Ortopedia,Cadera
27098,ADDUCTOR TRANSF TO ISCHIUM,7.8,Ortopedia,Cadera
27100,TRANSF EXT OBLIQ MUSCL-GR TROCH INCL TENDN EXTEN,10,Ortopedia,Cadera
27105,TRANSF PARASPINAL MUSCL TO HIP,10.5,Ortopedia,Cadera
27110,TRANSF ILIOPSOAS; TO GREATER TROCH,13.5,Ortopedia,Cadera
27111,TRANSF ILIOPSOAS; TO FEMORAL NECK,7.8,Ortopedia,Cadera
27120,ACETABULOPLASTY,11.8,Ortopedia,Cadera
27122,ACETABULOPLASTY; RESECT FEMORAL HEAD,9.8,Ortopedia,Cadera
27125,PART HIP REPLAC PROSTH,13.2,Ortopedia,Cadera
27130,ARTHROPLASTY ACETABULAR & PROX FEM PROSTH REPLAC,18.6,Ortopedia,Cadera
27132,CONVERSION PREV HIP TO TOTAL HIP REPLAC W/WO GFT,22.1,Ortopedia,Cadera
27134,REVIS TOT HIP ARTHROPLASTY; BOTH COMPON W/WO GFT,24,Ortopedia,Cadera
27137,REVIS TOT HIP ARTHROPLASTY; ACETABULAR ONLY,19.1,Ortopedia,Cadera
27138,REVIS TOT HIP ARTHROPLASTY; FEMORAL ONLY W/WO GF,19.1,Ortopedia,Cadera
27140,OSTEOTOMY & TRANSF GREATER TROCH (SEPART PROC),4.9,Ortopedia,Cadera
27146,OSTEOTOMY ILIAC/ACETABULAR/INNOMINATE BONE,9.8,Ortopedia,Cadera
27147,OSTEOTOMY ILIAC/ACETAB/INNOMIN; W/OP REDUC HIP,14.5,Ortopedia,Cadera
27151,OSTEOTOMY ILIAC/ACETAB/INNOMIN; W/FEM OSTEOTOMY,12.7,Ortopedia,Cadera
27156,OSTEOTOMY ILIAC; W/FEM OSTEOT & W/OP REDUC HIP,14.2,Ortopedia,Cadera
27158,OSTEOTOMY PELVIS BILAT CONGEN MALFORM,15.7,Ortopedia,Cadera
27161,OSTEOTOMY FEMORAL NECK (SEPART PROC),9.3,Ortopedia,Cadera
27165,OSTEOTOMY INTER-/SUBTROCH INCL INT/EXT FIX/CAST,14.5,Ortopedia,Cadera
