codigo,cirugia,rvu,especialidad,grupo
20600,ARTHROCENTESIS/ASPIR/INJ; SM JT/BURSA/CYST,0.3,Ortopedia,Ijertos e implantes
20605,ARTHROCENTESIS/ASPIR/INJ; INTERMED JT/BURSA/CYST,0.3,Ortopedia,Ijertos e implantes
20610,ARTHROCENTESIS/ASPIR/INJ; MAJOR JT/BURSA,0.3,Ortopedia,Ijertos e implantes
20615,ASPIRAT & INJ TX BONE CYST,1.2,Ortopedia,Ijertos e implantes
20650,INSRT WIRE W/APPLIC TRACT W/REMOV (SEPART PROC),0.7,Ortopedia,Ijertos e implantes
20660,APPLIC CRAN TONGS/CALIPER W/REMOV (SEPART PROC),2.7,Ortopedia,Ijertos e implantes
20661,APPLIC HALO INCL REMOV; CRANIAL,2,Ortopedia,Ijertos e implantes
20662,APPLIC HALO INCL REMOV; PELVIC,2,Ortopedia,Ijertos e implantes
20663,APPLIC HALO INCL REMOV; FEMORAL,2.3,Ortopedia,Ijertos e implantes
20665,REMOV TONGS/HALO APPLIC BY ANOTHER PHYS,0.4,Ortopedia,Ijertos e implantes
20670,REMOV IMPLNT; SUPERF (SEPART PROC),0.8,Ortopedia,Ijertos e implantes
20680,REMOV IMPLNT; DEEP,2.4,Ortopedia,Ijertos e implantes
20690,APPLIC UNIPLANE-UNILAT-EXT FIXA SYST,2.7,Ortopedia,Ijertos e implantes
20692,APPLIC MULTIPLANE-UNILAT-EXT FIXA SYST,3.5,Ortopedia,Ijertos e implantes
20693,ADJUSTMENT/REVIS EXT FIXA SYST REQUIRING ANES,2,Ortopedia,Ijertos e implantes
20694,REMOV UNDER ANES EXT FIXA SYST,1.2,Ortopedia,Ijertos e implantes
20802,REPLANTATION ARM; COMPLT AMPUTA,BR,Ortopedia,Ijertos e implantes
20804,REPLANTATION ARM; INCOMPL AMPUTA,BR,Ortopedia,Ijertos e implantes
20805,REPLANTATION FOREARM; COMPLT AMPUTA,BR,Ortopedia,Ijertos e implantes
20806,REPLANTATION FOREARM; INCOMPL AMPUTA,BR,Ortopedia,Ijertos e implantes
20808,REPLANTATION HAND; COMPLT AMPUTA,BR,Ortopedia,Ijertos e implantes
20812,REPLANTATION HAND; INCOMPL AMPUTA,BR,Ortopedia,Ijertos e implantes
20816,REPLANTATION DIGIT (INCL MCP JT); COMPLT AMPUTA,BR,Ortopedia,Ijertos e implantes
