codigo,cirugia,rvu,especialidad,grupo
30000,DRAINAGE ABSCESS/HEMATOMA-NASAL-INT APPROACH,0.5,Sin clasificación,Sin clasificación
30020,DRAINAGE ABSCESS/HEMATOMA NASAL SEPTUM,1,Sin clasificación,Sin clasificación
30100,BX INTRANASAL,0.5,Sin clasificación,Sin clasificación
30110,EXC NASAL POLYP SIMPL,1,Sin clasificación,Sin clasificación
30115,EXC NASAL POLYP EXTEN,2.7,Sin clasificación,Sin clasificación
30117,EXC/DESTRCT INTRANASAL LES; INT APPROACH,2,Sin clasificación,Sin clasificación
30118,EXC/DESTRCT INTRANASAL LES; EXT APPROACH,4.9,Sin clasificación,Sin clasificación
30120,EXC/SURG PLANING SKIN NOSE RHINOPHYMA,5.9,Sin clasificación,Sin clasificación
30124,EXC DERMOID CYST NOSE; SIMPL SKIN SUBQ,1.9,Sin clasificación,Sin clasificación
30125,EXC DERMOID CYST NOSE; COMPLX UNDER BONE/CARTIL,7.4,Sin clasificación,Sin clasificación
30130,EXC TURBINATE PART/COMPLT,2.3,Sin clasificación,Sin clasificación
30140,SUBMUCOUS RESECT TURBINATE PART/COMPLT,3.6,Sin clasificación,Sin clasificación
30150,RHINECTOMY; PART,2.9,Sin clasificación,Sin clasificación
30160,RHINECTOMY; TOT,4.9,Sin clasificación,Sin clasificación
30200,INJ INTO TURBINATE THERAP,0.3,Sin clasificación,Sin clasificación
30210,DISPLACEMENT THERAP,0.2,Sin clasificación,Sin clasificación
30220,INSRT NASAL SEPTAL PROSTH,1.5,Sin clasificación,Sin clasificación
30300,REMOV F B INTRANASAL; OFFIC TYPE PROC,0.4,Sin clasificación,Sin clasificación
30310,REMOV F B INTRANASAL; REQUIRING GEN ANES,1.8,Sin clasificación,Sin clasificación
30320,REMOV F B INTRANASAL; BY LAT RHINOTOMY,3.9,Sin clasificación,Sin clasificación
30400,RHINOPLASTY PRIM; LAT & ALAR CARTIL/ELEVAT TIP,7.7,Sin clasificación,Sin clasificación
30410,RHINOPLASTY PRIM; COMPLT-EXT PARTS-ELEVAT TIP,11,Sin clasificación,Sin clasificación
30420,RHINOPLASTY PRIMARY; INCL MAJOR SEPTAL REPR,12.5,Sin clasificación,Sin clasificación
30430,RHINOPLASTY SECNDRY; MINOR REVIS,3.9,Sin clasificación,Sin clasificación
30435,RHINOPLASTY SECNDRY; INTERMED REVIS,5.3,Sin clasificación,Sin clasificación
30450,RHINOPLASTY SECNDRY; MAJOR REVIS,10.2,Sin clasificación,Sin clasificación
30460,RHINOPLASTY-DEFORM CLEFT LIP; TIP ONLY,3.9,Sin clasificación,Sin clasificación
30462,RHINOPLASTY-DEFORM CLEFT LIP; TIP/SEPTUM/OSTEOT,14.4,Sin clasificación,Sin clasificación
30520,SEPTOPLASTY/SMR W/WO CARTIL SCORING/REPLAC W/GFT,7.4,Sin clasificación,Sin clasificación
30540,REPR CHOANAL ATRESIA; INTRANASAL,7.2,Sin clasificación,Sin clasificación
30545,REPR CHOANAL ATRESIA; TRANSPALATINE,13.5,Sin clasificación,Sin clasificación
30560,LYSIS INTRANASAL SYNECHIA,0.7,Sin clasificación,Sin clasificación
30580,REPR FISTULA; OROMAXILLARY,4.9,Sin clasificación,Sin clasificación
30600,REPR FISTULA; ORONASAL,4.9,Sin clasificación,Sin clasificación
30620,SEPTAL/OTHER INTRANASAL DERMATOPLASTY,8.3,Sin clasificación,Sin clasificación
30630,REPR NASAL SEPTAL PERFORATIONS,5.9,Sin clasificación,Sin clasificación
30801,CAUT MUCOSA TURBIN UNI-/BILAT (SEP PRO); SUPERF,0.9,Sin clasificación,Sin clasificación
30802,CAUT MUCOS TURBIN UNI-/BILAT (SEP PRO); INTRAMUR,1.7,Sin clasificación,Sin clasificación
30901,CONTRL NASAL HEMORR-ANT-SIMPL ANY METHD,0.4,Sin clasificación,Sin clasificación
30903,CONTRL NASAL HEMORR-ANT-COMPLX ANY METHD,0.7,Sin clasificación,Sin clasificación
30905,CONTRL NASAL HEMORR-POST-W/PACKS-CAUT; INIT,1.5,Sin clasificación,Sin clasificación
30906,CONTRL NASAL HEMORR-POST-W/PACKS-CAUT; SUBSQT,1.4,Sin clasificación,Sin clasificación
30915,LIG ART; ETHMO,5.4,Sin clasificación,Sin clasificación
30920,LIG ART; INT MAXIL ART TRANSANTRAL,8.3,Sin clasificación,Sin clasificación
30930,FX NASAL TURBINATE THERAP,0.7,Sin clasificación,Sin clasificación
30999,UNLISTED PROC NOSE,BR,Sin clasificación,Sin clasificación
31000,LAVAGE BY CANNULATION; MAXIL SINUS,0.5,Sin clasificación,Sin clasificación
31002,LAVAGE BY CANNULATION; SPHENOID SINUS,0.6,Sin clasificación,Sin clasificación
31020,SINUSOTOMY MAXIL; INTRANASAL,2.6,Sin clasificación,Sin clasificación
31030,SINUSOTMY MAXIL; RAD WO REMOV ANTROCHOANAL POLYP,6.4,Sin clasificación,Sin clasificación
31032,SINUSOTMY MAXIL; RAD W/REMOV ANTROCHOANAL POLYPS,7.4,Sin clasificación,Sin clasificación
31040,PTERYGOMAXILLARY FOSSA SURG ANY APPROACH,13.7,Sin clasificación,Sin clasificación
31050,SINUSOTOMY SPHENOID W/WO BX,9.8,Sin clasificación,Sin clasificación
31051,SINUSOTOMY SPHENOID W/WO BX; W/MUCOS STRIPPING,10.3,Sin clasificación,Sin clasificación
