codigo,cirugia,rvu,especialidad,grupo
69000,DRAINAGE EXT EAR ABSCESS/HEMATOMA; SIMPL,0.5,Otorrino,Oído / Laringe
69005,DRAINAGE EXT EAR ABSCESS/HEMATOMA; COMPLIC,1.6,Otorrino,Oído / Laringe
69020,DRAINAGE EXT AUDITORY CANAL ABSCESS,0.6,Otorrino,Oído / Laringe
69090,EAR PIERCING,0.3,Otorrino,Oído / Laringe
69100,BX EXT EAR,0.7,Otorrino,Oído / Laringe
69105,BX EXT AUDITORY CANAL,0.7,Otorrino,Oído / Laringe
69110,EXC EXT EAR; PART SIMPL REPR,2.9,Otorrino,Oído / Laringe
69120,EXC EXT EAR; COMPLT AMPUTA,6.9,Otorrino,Oído / Laringe
69140,EXC EXOSTOSIS EXT AUDITORY CANAL,11.8,Otorrino,Oído / Laringe
69145,EXC SOFT TISS LES EXT AUDITORY CANAL,2,Otorrino,Oído / Laringe
69150,RAD EXC EXT AUDITORY CANAL LES; WO NECK DISSECT,7.4,Otorrino,Oído / Laringe
69155,RAD EXC EXT AUDITORY CANAL LES; W/NECK DISSECT,10.8,Otorrino,Oído / Laringe
69200,REMOV F B-EXT AUDITORY CANAL; WO GEN ANES,0.6,Otorrino,Oído / Laringe
69205,REMOV F B-EXT AUDITORY CANAL; W/GEN ANES,2.1,Otorrino,Oído / Laringe
69210,REMOV IMPACTED CERUMEN (SEP PRO) 1/BOTH EARS,0.3,Otorrino,Oído / Laringe
69220,DEBRID MASTOIDEC CAVITY SIMPL,0.3,Otorrino,Oído / Laringe
69222,DEBRID MASTOIDEC CAVITY COMPLX,1.5,Otorrino,Oído / Laringe
69300,OTOPLASTY PROTRUDING EAR W/WO SIZE REDUCTION,5.8,Otorrino,Oído / Laringe
69310,RECON EXT AUDITORY CANAL (SEPART PROC),9.3,Otorrino,Oído / Laringe
69320,RECON EXT AUDITORY CANAL CONGEN ATRESIA; 1 STAGE,9.3,Otorrino,Oído / Laringe
69399,UNLISTED PROC EXT EAR,BR,Otorrino,Oído / Laringe
69400,EUSTACHIAN TUBE INFLATION TRANSNASAL; W/CATH,0.3,Otorrino,Oído / Laringe
69401,EUSTACHIAN TUBE INFLATION TRANSNASAL; WO CATH,0.2,Otorrino,Oído / Laringe
69405,EUSTACHIAN TUBE CATH TRANSTYMPANIC,0.4,Otorrino,Oído / Laringe
69410,FOCAL APPLIC PHASE CONTRL SUBSTANCE MID EAR,RNE,Otorrino,Oído / Laringe
69420,MYRINGOTOMY INCL ASPIRAT &/OR EUSTACHIAN INFLAT,1.1,Otorrino,Oído / Laringe
69421,MYRINGOTOMY INCL ASPIRAT REQ GEN ANES,1.5,Otorrino,Oído / Laringe
69424,VENTILATING TUBE REMOV-INSRT BY ANOTHER PHYS,1,Otorrino,Oído / Laringe
69433,TYMPANOSTOMY LOCAL/TOPICAL ANES,1.5,Otorrino,Oído / Laringe
69436,TYMPANOSTOMY GEN ANES,1.8,Otorrino,Oído / Laringe
69440,MID EAR EXPLOR-POSTAURICULAR/EAR CANAL INCS,6.4,Otorrino,Oído / Laringe
69450,TYMPANOLYSIS TRANSCANAL,6.4,Otorrino,Oído / Laringe
69501,TRANSMASTOID ANTROTOMY,6.4,Otorrino,Oído / Laringe
69502,MASTOIDEC; COMPLT,10,Otorrino,Oído / Laringe
69505,MASTOIDEC; MODIF RADICAL,13,Otorrino,Oído / Laringe
69511,MASTOIDEC; RADICAL,13,Otorrino,Oído / Laringe
69530,PETROUS APICECTOMY INCL RADICAL MASTOIDEC,14.7,Otorrino,Oído / Laringe
69535,RESECT TEMPORAL BONE EXT APPROACH,14.7,Otorrino,Oído / Laringe
69540,EXC AURAL POLYP,1.2,Otorrino,Oído / Laringe
69550,EXC AURAL GLOMUS TUMOR; TRANSCANAL,9.8,Otorrino,Oído / Laringe
69552,EXC AURAL GLOMUS TUMOR; TRANSMASTOID,11.8,Otorrino,Oído / Laringe
69554,EXC AURAL GLOMUS TUMOR; EXTEN,14.7,Otorrino,Oído / Laringe
69601,REVIS MASTOIDEC; RESULTING-COMPLT MASTOIDEC,7.4,Otorrino,Oído / Laringe
69602,REVIS MASTOIDEC; RESULT-MODIF RAD MASTOIDEC,11.8,Otorrino,Oído / Laringe
69603,REVIS MASTOIDEC; RESULTING-RADICAL MASTOIDEC,11.8,Otorrino,Oído / Laringe
69604,REVIS MASTOIDEC; RESULTING-TYMPANOPLASTY,11.8,Otorrino,Oído / Laringe
69605,REVIS MASTOIDEC; W/APICECTOMY,12.7,Otorrino,Oído / Laringe
69610,TYMPANIC MEMBRN REPR W/WO SITE PREP W/WO PATCH,0.7,Otorrino,Oído / Laringe
69620,MYRINGOPLASTY,7.8,Otorrino,Oído / Laringe
69631,TYMPANOPLASTY WO MASTOIDEC; WO OSSICULAR CHAIN,10.6,Otorrino,Oído / Laringe
69632,TYMPANOPLASTY WO MASTOIDEC; W/OSSICULAR CHAIN,12,Otorrino,Oído / Laringe
69633,TYMPANOPLASTY WO MASTOIDEC; W/CHAIN & PROSTH,12.7,Otorrino,Oído / Laringe
69635,TYMPANOPLASTY W/ANTROTOMY; WO OSSICULAR CHAIN,12.3,Otorrino,Oído / Laringe
69636,TYMPANOPLASTY W/ANTROTOMY; W/OSSICULAR CHAIN,13,Otorrino,Oído / Laringe
69637,TYMPANOPLASTY W/ANTROTOMY; W/CHAIN & PROSTH,13.7,Otorrino,Oído / Laringe
69641,TYMPANOPLASTY W/MASTOIDEC; WO OSSICULAR CHAIN,13.2,Otorrino,Oído / Laringe
69642,TYMPANOPLASTY W/MASTOIDEC; W/OSSICULAR CHAIN,13.9,Otorrino,Oído / Laringe
69643,TYMPANOPLASTY W/MASTOIDEC; W/INTACT/RECON WALL,13.7,Otorrino,Oído / Laringe
69644,TYMPANOPLASTY W/MASTOIDEC; W/RECON CANAL WALL,14.5,Otorrino,Oído / Laringe
69645,TYMPANOPLASTY W/MASTOIDEC; RADICAL/COMPLT,13.2,Otorrino,Oído / Laringe
69646,TYMPANOPLASTY W/MASTOIDEC; RAD W/CHAIN RECON,14.2,Otorrino,Oído / Laringe
69650,STAPES MOBILIZATION,7.7,Otorrino,Oído / Laringe
69660,STAPEDECTOMY/STAPEDOTOMY W/REESTABLISHMENT,11,Otorrino,Oído / Laringe
69661,STAPEDECTOMY/STAPEDOTOMY; W/FOOTPLATE DRILL OUT,11,Otorrino,Oído / Laringe
69662,REVIS STAPEDECTOMY/STAPEDOTOMY,13.1,Otorrino,Oído / Laringe
69666,REPR OVAL WINDOW FISTULA,9.8,Otorrino,Oído / Laringe
69667,REPR ROUND WINDOW FISTULA,9.8,Otorrino,Oído / Laringe
69670,MASTOID OBLIT (SEPART PROC),11.8,Otorrino,Oído / Laringe
69676,TYMPANIC NEURECTOMY,6.9,Otorrino,Oído / Laringe
69700,CLO POSTAURICULAR FISTULA MASTOID (SEPART PROC),2.9,Otorrino,Oído / Laringe
69710,IMPLNT/REPLAC ELECTROMAGNETIC BONE HEARING DEVIC,RNE,Otorrino,Oído / Laringe
69711,REMOV/REPR ELECTROMAGNETIC BONE HEARING DEVICE,RNE,Otorrino,Oído / Laringe
69720,DECOMP FACIAL NERV INTRATEMPORAL; LAT-GENICULATE,11.8,Otorrino,Oído / Laringe
69725,DECOMP FACIAL NERV; INCL MEDIAL-GENICULATE GANGL,19.6,Otorrino,Oído / Laringe
69740,SUTURE FACIAL NERV W/WO GFT; LAT-GENICULATE,13.7,Otorrino,Oído / Laringe
69745,SUTURE FACIAL NERV; INCL MEDIAL-GENICULATE GANGL,19.6,Otorrino,Oído / Laringe
69799,UNLISTED PROC MID EAR,BR,Otorrino,Oído / Laringe
69801,LABYRINTHOTOMY W/WO CRYOSURG; TRANSCANAL,8.8,Otorrino,Oído / Laringe
69802,LABYRINTHOTOMY W/WO CRYOSURG; W/MASTOIDEC,11.8,Otorrino,Oído / Laringe
69805,ENDOLYMPHATIC SAC OR; WO SHUNT,11.8,Otorrino,Oído / Laringe
69806,ENDOLYMPHATIC SAC OR; W/SHUNT,14.1,Otorrino,Oído / Laringe
69820,FENESTRATION SEMICIRCULAR CANAL,11.8,Otorrino,Oído / Laringe
69840,REVIS FENESTRATION OR,6.4,Otorrino,Oído / Laringe
69905,LABYRINTHECTOMY; TRANSCANAL,9.8,Otorrino,Oído / Laringe
69910,LABYRINTHECTOMY; W/MASTOIDEC,11.8,Otorrino,Oído / Laringe
69915,VESTIBULAR NERV SECT TRANSLABYRINTHINE APPROACH,17.6,Otorrino,Oído / Laringe
69930,COCHLEAR DEVICE IMPLNT W/WO MASTOIDEC,13.7,Otorrino,Oído / Laringe
69949,UNLISTED PROC INNER EAR,BR,Otorrino,Oído / Laringe
69950,VESTIBULAR NERV SECT-TRANSCRANIAL APPROACH,19.6,Otorrino,Oído / Laringe
69955,TOT FACIAL NERV DECOMP &/OR REPR,19.6,Otorrino,Oído / Laringe
69960,DECOMP INT AUDITORY CANAL,19.6,Otorrino,Oído / Laringe
69970,REMOV TUMOR TEMPORAL BONE,24.5,Otorrino,Oído / Laringe
