codigo,cirugia,rvu,especialidad,grupo
14000,ADJACENT TISS TRANSF TRUNK; DEFECT 10 SQ CM/LESS,2.6,Sin clasificación,Sin clasificación
14001,ADJACENT TISS TRANSF TRUNK; 10.1 TO 30.0 SQ CM,3.9,Sin clasificación,Sin clasificación
14020,ADJACENT TRANSF SCLP/ARMS/LEGS; 10 SQ CM/LESS,3.9,Sin clasificación,Sin clasificación
14021,ADJACENT TRANSF SCLP/ARMS/LEGS; 10.1-30.00 SQ CM,5.2,Sin clasificación,Sin clasificación
14040,ADJACENT TRANSF CHIN/NECK/AX/FT; 10 SQ CM/LESS,4.7,Sin clasificación,Sin clasificación
14041,ADJACENT TRANSF CHIN/NECK/AX/FT; 10.1-30.0 SQ CM,6.7,Sin clasificación,Sin clasificación
14060,ADJACENT TRANSF LIDS/NOSE/LIPS; 10 SQ CM/LESS,5.9,Sin clasificación,Sin clasificación
14061,ADJACENT TRANSF LIDS/NOSE/LIPS; 10.1-30.0 SQ CM,8.3,Sin clasificación,Sin clasificación
14300,ADJACENT TRANSF MORE THAN 30.0 SQ CM COMPLIC,BR,Sin clasificación,Sin clasificación
14350,FILLETED FINGER/TOE FLAP W/PREP RECIPIENT SITE,4.4,Sin clasificación,Sin clasificación
15000,EXC PREP RECIPIENT SITE PRIOR TO REPR W/SKIN GFT,2.7,Sin clasificación,Sin clasificación
15050,PINCH GFT 1/MX TO COVER SMALL AREA UP TO 2 CM,0.8,Sin clasificación,Sin clasificación
15100,SPLIT GFT TRUNK; 100 SQ CM/LESS-EA 1% BODY CHILD,3.3,Sin clasificación,Sin clasificación
15101,SPLIT GFT TRUNK; EA AD 100 SQ CM/EA 1% BOD CHILD,2,Sin clasificación,Sin clasificación
15120,SPLIT GFT FACE; 100 SQ CM/LESS-EA 1% BODY CHILD,5.7,Sin clasificación,Sin clasificación
15121,SPLIT GFT FACE; EA AD 100 SQ CM/EA 1% BODY CHILD,2.5,Sin clasificación,Sin clasificación
15200,FULL THICK GFT-FREE-TRUNK; 20 SQ CM/LESS,2.7,Sin clasificación,Sin clasificación
15201,FULL THICK GFT-FREE-TRUNK; EA ADD 20 SQ CM,1.5,Sin clasificación,Sin clasificación
15220,FULL THICK GFT-FREE-SCLP; 20 SQ CM/LESS,3.9,Sin clasificación,Sin clasificación
15221,FULL THICK GFT-FREE-SCLP; EA ADD 20 SQ CM,1.9,Sin clasificación,Sin clasificación
15240,FULL THICK GFT CHIN/NECK/AX/HANDS/FT; 20 SQ CM,5.3,Sin clasificación,Sin clasificación
15241,FULL THICK GFT CHIN/NECK/AX/HANDS/FT; EA AD 20CM,2.6,Sin clasificación,Sin clasificación
15260,FULL THICK GFT NOSE/EARS/LIDS/LIPS; 20 SQ CM,5.8,Sin clasificación,Sin clasificación
15261,FULL THICK GFT NOSE/EARS/LIDS/LIPS; EA AD 20 CM,3.2,Sin clasificación,Sin clasificación
15350,APPLIC ALLOGFT SKIN,BR,Sin clasificación,Sin clasificación
15400,APPLIC XENOGRAFT SKIN,BR,Sin clasificación,Sin clasificación
15570,FORMATION DIR/TUBED PEDICLE W/WO TRANSF; TRUNK,5.4,Sin clasificación,Sin clasificación
15572,FORMATION DIR/TUBED PEDICLE W/WO TRANSF; SCLP,5.3,Sin clasificación,Sin clasificación
15574,FORM DIR PEDICLE W/WO TRANSF; CHEEKS/CHIN/AX/FT,5.7,Sin clasificación,Sin clasificación
15576,FORM DIR PEDICLE W/WO TRANSF; LIDS/NOSE/EARS/LIP,6.2,Sin clasificación,Sin clasificación
15580,CROSS FINGER FLAP INCL FREE GFT TO DONOR SITE,5.1,Sin clasificación,Sin clasificación
