codigo,cirugia,rvu,especialidad,grupo
10040,ACNE SURG,0.2,Sin clasificación,Sin clasificación
10060,I&D ABSCESS; SIMPL/SNGL,0.3,Sin clasificación,Sin clasificación
10061,I&D ABSCESS; COMPLIC/MX,1.1,Sin clasificación,Sin clasificación
10080,I&D PILONIDAL CYST; SIMPL,0.4,Sin clasificación,Sin clasificación
10081,I&D PILONIDAL CYST; COMPLIC,1.2,Sin clasificación,Sin clasificación
10120,INCS & REMOV F B SUBQ TISS; SIMPL,0.4,Cirugía General,Drenajes / Incisiones
10121,INCS & REMOV F B SUBQ TISS; COMPLIC,1.2,Cirugía General,Drenajes / Incisiones
10140,I&D HEMATOMA/SEROMA/FLUID COLLEC,0.3,Cirugía General,Drenajes / Incisiones
10160,PUNCT ASPIRAT ABSCESS/HEMATOMA/BULLA/CYST,0.3,Cirugía General,Drenajes / Incisiones
10180,I&D COMPLX POSTOP WOUND INFEC,1.8,Cirugía General,Drenajes / Incisiones
11000,DEBRID EXTEN ECZEMAT/INFEC SKIN; TO 10% BODY SUR,0.3,Sin clasificación,Sin clasificación
11001,DEBRID EXTEN ECZEMAT/INFEC SKIN; EA AD 10% SURFA,0.2,Sin clasificación,Sin clasificación
11040,DEBRID; SKIN PART THICK,0.3,Sin clasificación,Sin clasificación
11041,DEBRID; SKIN FULL THICK,0.7,Sin clasificación,Sin clasificación
11042,DEBRID; SKIN & SUBQ TISS,1.2,Sin clasificación,Sin clasificación
11043,DEBRID; SKIN/SUBQ TISS/MUSCL,2.2,Sin clasificación,Sin clasificación
11044,DEBRID; SKIN/SUBQ TISS/MUSCL/BONE,2.5,Sin clasificación,Sin clasificación
11050,PARING/CURETT BEN LES W/WO CAUT-W/WO ANES; 1 LES,0.3,Sin clasificación,Sin clasificación
11051,PARING/CURETT BEN LES W/WO CAUT-W/WO ANES; 2-4,0.3,Sin clasificación,Sin clasificación
11052,PARING/CURETT BEN LES W/WO CAUT-W/WO ANES; > 4,0.4,Sin clasificación,Sin clasificación
11100,BX SKIN/SUBQ TISS/MUCOUS MEMB (SEP PRO); 1 LES,0.4,Sin clasificación,Sin clasificación
11101,BX SKIN/SUBQ TISS/MUCOUS MEMB (SEP PRO); EA ADD,0.3,Sin clasificación,Sin clasificación
11200,REMOV SKIN TAGS ANY AREA; TO & INCL 15 LES,0.3,Sin clasificación,Sin clasificación
11201,REMOV SKIN TAGS ANY AREA; EA ADD 10 LES,0.2,Sin clasificación,Sin clasificación
11300,SHAVING 1 LES TRUNK/ARMS/LEGS; 0.5CM/LESS,0.1,Sin clasificación,Sin clasificación
11301,SHAVING 1 LES TRUNK/ARMS/LEGS; 0.6 TO 1.0 CM,0.2,Sin clasificación,Sin clasificación
11302,SHAVING 1 LES TRUNK/ARMS/LEGS; 1.1 TO 2.0 CM,0.2,Sin clasificación,Sin clasificación
11303,SHAVING 1 LES TRUNK/ARMS/LEGS; OVER 2.0 CM,0.3,Sin clasificación,Sin clasificación
11305,SHAVING 1 LES SCALP/HANDS/FT/GENIT; 0.5 CM/LESS,0.2,Sin clasificación,Sin clasificación
11306,SHAVING 1 LES SCALP/HANDS/FT/GENIT; 0.6 TO 1.0CM,0.2,Sin clasificación,Sin clasificación
11307,SHAVING 1 LES SCALP/HANDS/FT/GENIT; 1.1 TO 2.0CM,0.3,Sin clasificación,Sin clasificación
11308,SHAVING 1 LES SCALP/HANDS/FT/GENIT; OVER 2.0 CM,0.3,Sin clasificación,Sin clasificación
11310,SHAVING 1 LES FACE/EARS/NOSE/LIPS; 0.5 CM/LESS,0.2,Sin clasificación,Sin clasificación
11311,SHAVING 1 LES FACE/EARS/NOSE/LIPS; 0.6 TO 1.0 CM,0.2,Sin clasificación,Sin clasificación
11312,SHAVING 1 LES FACE/EARS/NOSE/LIPS; 1.1 TO 2.0 CM,0.3,Sin clasificación,Sin clasificación
11313,SHAVING 1 LES FACE/EARS/NOSE/LIPS; OVER 2.0 CM,0.3,Sin clasificación,Sin clasificación
11701,DEBRID NAILS MANUAL; EA ADD 5/LESS,0.1,Sin clasificación,Sin clasificación
11710,DEBRID NAILS ELEC GRINDER; 5/LESS,0.2,Sin clasificación,Sin clasificación
11730,AVULSION NAIL PLATE PART/COMPLT SIMPL; SNGL,0.4,Cirugía General,Uñas / piel
11731,AVULSION PLATE PART/COMPLT SIMPL; 2ND NAIL PLATE,0.3,Cirugía General,Uñas / piel
11732,AVULSION PLATE PART/COMPLT SIMPL; EA ADD NAIL,0.2,Cirugía General,Uñas / piel
11740,EVACUATION SUBUNGUAL HEMATOMA,0.3,Cirugía General,Uñas / piel
11750,EXC NAIL/MATRIX PART/COMPLT PERM REMOV,1.4,Cirugía General,Uñas / piel
11752,EXC NAIL/MATRIX PART/COMPLT PERM; AMPUT DISTAL,1.9,Cirugía General,Uñas / piel
11760,REPR NAIL BED,1.5,Cirugía General,Uñas / piel
11762,RECON NAIL BED W/GFT,2.3,Cirugía General,Uñas / piel
11765,WEDGE EXC SKIN NAIL FOLD,1,Cirugía General,Uñas / piel
11711,DEBRID NAILS ELEC GRINDER; EA ADD 5/LESS,0.1,Sin clasificación,Sin clasificación
11770,EXC PILONIDAL CYST/SINUS; SIMPL,2.6,Sin clasificación,Sin clasificación
11771,EXC PILONIDAL CYST/SINUS; EXTEN,3.7,Sin clasificación,Sin clasificación
11772,EXC PILONIDAL CYST/SINUS; COMPLIC,4.2,Sin clasificación,Sin clasificación
11900,INJ INTRALES; UP TO & INCL 7 LES,0.2,Sin clasificación,Sin clasificación
11901,INJ INTRALES; MORE THAN 7 LES,0.4,Sin clasificación,Sin clasificación
11920,TATTOOING INCL MICROPIGMENTATION; 6.0 SQ CM/LESS,2.5,Sin clasificación,Sin clasificación
11921,TATTOOING INCL MICROPIGMENTATION; 6.1-20.0 SQ CM,4.9,Sin clasificación,Sin clasificación
11922,TATTOOING INCL MICROPIGMENTATION; EA ADD 20.0 CM,2.5,Sin clasificación,Sin clasificación
11950,SUBQ INJ FILLING MAT; 1 CC/LESS,0.9,Sin clasificación,Sin clasificación
11951,SUBQ INJ FILLING MAT; 1.1 TO 5.0 CC,1.2,Sin clasificación,Sin clasificación
11952,SUBQ INJ FILLING MAT; 5.1 TO 10.0 CC,1.5,Sin clasificación,Sin clasificación
11954,SUBQ INJ FILLING MAT; OVER 10.0 CC,BR,Sin clasificación,Sin clasificación
11960,INSRT EXPANDER NOT BREAST INCL SUBSQT EXPANSION,RNE,Sin clasificación,Sin clasificación
11970,REPLAC TISS EXPANDER W/PERM PROSTH,7.6,Sin clasificación,Sin clasificación
11971,REMOV TISS EXPANDER WO INSRT PROSTH,1.1,Sin clasificación,Sin clasificación
